# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4274814276032
#
# Children      Self  Command          Shared Object                      Symbol                                                                                                                                                                                                         
# ........  ........  ...............  .................................  ...............................................................................................................................................................................................................
#
     0.02%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] isolate_migratepages
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] nvme_map_data
     0.02%     0.00%  G1 Refine#12     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] nvme_setup_rw
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] page_referenced_one
     0.02%     0.00%  G1 Refine#13     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] asm_common_interrupt
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] common_interrupt
     0.02%     0.02%  kswapd0          [kernel.kallsyms]                  [k] workingset_age_nonresident
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] __sysvec_call_function_single
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] sysvec_call_function_single
     0.02%     0.00%  GC Thread#9      [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  swapper          [kernel.kallsyms]                  [k] nvme_irq
     0.02%     0.00%  G1 Refine#17     [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] handle_edge_irq
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] __common_interrupt
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] asm_common_interrupt
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] common_interrupt
     0.02%     0.01%  kswapd0          [kernel.kallsyms]                  [k] _raw_spin_lock
     0.02%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] swap_writepage
     0.02%     0.00%  swapper          [kernel.kallsyms]                  [k] nvme_process_cq
     0.02%     0.00%  G1 Refine#19     [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] __x86_indirect_thunk_rax
     0.02%     0.00%  kswapd0          [kernel.kallsyms]                  [k] uncharge_batch
     0.02%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] swap_writepage
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] __alloc_pages
     0.02%     0.02%  kswapd0          [kernel.kallsyms]                  [k] __mod_zone_page_state
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] dma_direct_map_sg
     0.02%     0.00%  GC Thread#21     [kernel.kallsyms]                  [k] lru_note_cost
     0.02%     0.00%  G1 Conc#5        [kernel.kallsyms]                  [k] do_anonymous_page
     0.02%     0.01%  swapper          [kernel.kallsyms]                  [k] __update_blocked_fair
     0.02%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] ext4_fc_track_template
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] blk_throtl_bio
     0.02%     0.02%  GC Thread#11     [kernel.kallsyms]                  [k] up_read
     0.02%     0.00%  G1 Refine#17     [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.02%     0.02%  kswapd0          [kernel.kallsyms]                  [k] page_check_dirty_writeback
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] net_rx_action
     0.02%     0.00%  VM Thread        [kernel.kallsyms]                  [k] free_unref_page_list
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] trigger_load_balance
     0.02%     0.00%  G1 Refine#18     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  GC Thread#5      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  G1 Refine#22     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] free_unref_page_list
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                  [k] generic_write_checks
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  G1 Refine#10     [kernel.kallsyms]                  [k] tick_sched_handle
     0.02%     0.01%  kswapd0          [kernel.kallsyms]                  [k] super_cache_count
     0.02%     0.00%  G1 Refine#8      [kernel.kallsyms]                  [k] scheduler_tick
     0.02%     0.00%  GC Thread#19     [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.01%  kworker/u64:37-  [kernel.kallsyms]                  [k] ext4_bio_write_page
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] __alloc_pages_slowpath.constprop.0
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] do_try_to_free_pages
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] shrink_node
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] shrink_node_memcgs
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] shrink_zones
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] try_to_free_pages
     0.02%     0.00%  G1 Refine#12     [kernel.kallsyms]                  [k] tick_sched_handle
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] handle_irq_event
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] nvme_irq
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] nvme_process_cq
     0.02%     0.02%  GC Thread#13     [kernel.kallsyms]                  [k] mem_cgroup_id_get_online
     0.02%     0.01%  GC Thread#11     [kernel.kallsyms]                  [k] perf_adjust_freq_unthr_context
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] __common_interrupt
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] asm_common_interrupt
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] common_interrupt
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] handle_edge_irq
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] handle_irq_event
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] nvme_irq
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] nvme_process_cq
     0.02%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] sysvec_call_function_single
     0.02%     0.00%  G1 Refine#10     [kernel.kallsyms]                  [k] update_process_times
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] asm_common_interrupt
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] common_interrupt
     0.02%     0.00%  G1 Refine#12     [kernel.kallsyms]                  [k] update_process_times
     0.02%     0.00%  G1 Refine#18     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] jbd2_journal_get_write_access
     0.02%     0.00%  GC Thread#0      [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  G1 Refine#22     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.01%  kworker/u64:36-  [kernel.kallsyms]                  [k] percpu_counter_add_batch
     0.02%     0.00%  kswapd0          [kernel.kallsyms]                  [k] rmap_walk_file
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                  [k] mod_objcg_state
     0.02%     0.00%  G1 Refine#7      [kernel.kallsyms]                  [k] scheduler_tick
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] ixgbe_poll
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] __napi_poll
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] __bitmap_and
     0.02%     0.00%  C2 CompilerThre  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] xas_nomem
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                  [k] finish_task_switch.isra.0
     0.02%     0.00%  dispatcher-even  [kernel.kallsyms]                  [k] __x64_sys_futex
     0.02%     0.01%  GC Thread#4      [kernel.kallsyms]                  [k] page_counter_try_charge
     0.02%     0.00%  rcu_sched        [kernel.kallsyms]                  [k] schedule_timeout
     0.02%     0.01%  GC Thread#11     [kernel.kallsyms]                  [k] native_flush_tlb_multi
     0.02%     0.02%  GC Thread#2      [kernel.kallsyms]                  [k] up_read
     0.02%     0.02%  kworker/u64:39-  [kernel.kallsyms]                  [k] find_get_pages_range_tag
     0.02%     0.00%  kworker/u64:39-  [kernel.kallsyms]                  [k] pagevec_lookup_range_tag
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] alloc_pages_vma
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] propagate_protected_usage
     0.02%     0.00%  G1 Refine#14     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  C1 CompilerThre  [kernel.kallsyms]                  [k] asm_sysvec_apic_timer_interrupt
     0.02%     0.02%  GC Thread#4      [kernel.kallsyms]                  [k] __frontswap_store
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] blk_update_request
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] blk_mq_end_request
     0.02%     0.00%  GC Thread#0      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  GC Thread#8      [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] hrtimer_wakeup
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] shrink_lruvec
     0.02%     0.00%  GC Thread#14     [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  C2 CompilerThre  [kernel.kallsyms]                  [k] do_syscall_64
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  dispatcher-even  [kernel.kallsyms]                  [k] do_futex
     0.02%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  kcompactd0       [kernel.kallsyms]                  [k] __buffer_migrate_page.part.0
     0.02%     0.02%  kswapd0          [kernel.kallsyms]                  [k] mem_cgroup_iter
     0.02%     0.00%  GC Thread#6      [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] __activate_page.part.0
     0.02%     0.00%  kworker/u64:35-  [kernel.kallsyms]                  [k] mpage_map_and_submit_extent
     0.02%     0.00%  G1 Refine#13     [kernel.kallsyms]                  [k] tick_sched_handle
     0.02%     0.01%  GC Thread#22     [kernel.kallsyms]                  [k] page_counter_try_charge
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] __rdgsbase_inactive
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] __common_interrupt
     0.02%     0.00%  G1 Refine#2      [kernel.kallsyms]                  [k] shrink_inactive_list
     0.02%     0.00%  GC Thread#7      [kernel.kallsyms]                  [k] lru_note_cost
     0.02%     0.02%  Executor task l  libjvm.so                          [.] _ZN13SATBMarkQueue6filterEv
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] handle_irq_event
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] handle_edge_irq
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.02%     0.00%  G1 Refine#14     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] irq_work_run_list
     0.02%     0.00%  G1 Refine#22     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] nvme_process_cq
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] nvme_irq
     0.02%     0.00%  G1 Refine#15     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  G1 Conc#0        [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] ttwu_do_wakeup
     0.02%     0.01%  kworker/u64:39-  [kernel.kallsyms]                  [k] __mod_lruvec_page_state
     0.02%     0.02%  swapper          [kernel.kallsyms]                  [k] update_sg_lb_stats
     0.02%     0.00%  G1 Refine#13     [kernel.kallsyms]                  [k] update_process_times
     0.02%     0.00%  G1 Refine#18     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.00%  C1 CompilerThre  [kernel.kallsyms]                  [k] sysvec_apic_timer_interrupt
     0.02%     0.00%  G1 Conc#1        [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.02%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] amd_pmu_disable_all
     0.02%     0.00%  GC Thread#15     [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.01%  GC Thread#2      [kernel.kallsyms]                  [k] perf_adjust_freq_unthr_context
     0.02%     0.00%  GC Thread#0      [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] mutex_lock
     0.02%     0.00%  GC Thread#8      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] __x64_sys_rt_sigreturn
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] xas_set_mark
     0.02%     0.01%  GC Thread#1      [kernel.kallsyms]                  [k] asm_sysvec_call_function_single
     0.02%     0.01%  GC Thread#2      [kernel.kallsyms]                  [k] page_counter_try_charge
     0.02%     0.00%  G1 Conc#1        [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.01%  GC Thread#11     [kernel.kallsyms]                  [k] asm_sysvec_call_function_single
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] blk_update_request
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] blk_mq_end_request
     0.02%     0.00%  G1 Conc#3        [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] __sysvec_call_function_single
     0.02%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] asm_sysvec_call_function_single
     0.02%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] swap_writepage
     0.02%     0.00%  G1 Refine#15     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] wake_affine_weight
     0.02%     0.02%  Executor task l  libjvm.so                          [.] _ZL12check_boundsiiiP6Thread
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] strncpy_from_user
     0.02%     0.00%  G1 Refine#16     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  G1 Refine#21     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] wake_up_page_bit
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                  [k] set_task_cpu
     0.02%     0.00%  GC Thread#19     [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  G1 Conc#2        [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  GC Thread#10     [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.02%  Executor task l  libc-2.28.so                       [.] cfree@GLIBC_2.2.5
     0.02%     0.01%  GC Thread#22     [kernel.kallsyms]                  [k] add_to_swap_cache
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                  [k] page_vma_mapped_walk
     0.02%     0.00%  swapper          [kernel.kallsyms]                  [k] tick_nohz_idle_exit
     0.02%     0.00%  G1 Conc#1        [kernel.kallsyms]                  [k] do_user_addr_fault
     0.02%     0.00%  G1 Conc#1        [kernel.kallsyms]                  [k] exc_page_fault
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] irq_chip_ack_parent
     0.02%     0.00%  GC Thread#19     [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  G1 Refine#19     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] ext4_mb_new_blocks
     0.02%     0.00%  kswapd0          [kernel.kallsyms]                  [k] page_counter_uncharge
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                  [k] ttwu_queue_wakelist
     0.02%     0.00%  sshd             [kernel.kallsyms]                  [k] vfs_write
     0.02%     0.00%  sshd             [kernel.kallsyms]                  [k] ksys_write
     0.02%     0.00%  GC Thread#21     [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  swapper          [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  G1 Refine#20     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  G1 Refine#14     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.00%  GC Thread#6      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.01%  GC Thread#1      [kernel.kallsyms]                  [k] perf_adjust_freq_unthr_context
     0.02%     0.00%  GC Thread#15     [kernel.kallsyms]                  [k] lru_note_cost
     0.02%     0.02%  GC Thread#2      [kernel.kallsyms]                  [k] native_flush_tlb_local
     0.02%     0.01%  kswapd0          [kernel.kallsyms]                  [k] list_lru_add
     0.02%     0.00%  GC Thread#5      [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] free_unref_page_list
     0.02%     0.00%  kworker/u64:35-  [kernel.kallsyms]                  [k] mpage_map_and_submit_buffers
     0.02%     0.00%  sshd             [kernel.kallsyms]                  [k] new_sync_write
     0.02%     0.00%  G1 Refine#21     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] handle_edge_irq
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] __common_interrupt
     0.02%     0.00%  sshd             [kernel.kallsyms]                  [k] sock_write_iter
     0.02%     0.01%  GC Thread#13     [kernel.kallsyms]                  [k] __frontswap_store
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] update_cfs_rq_h_load
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] nvme_process_cq
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] __common_interrupt
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] asm_common_interrupt
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] common_interrupt
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] handle_edge_irq
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] handle_irq_event
     0.02%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] nvme_irq
     0.02%     0.00%  G1 Refine#19     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.00%  G1 Refine#16     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] handle_irq_event
     0.02%     0.00%  GC Thread#12     [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  G1 Refine#17     [kernel.kallsyms]                  [k] __hrtimer_run_queues
     0.02%     0.00%  G1 Refine#9      [kernel.kallsyms]                  [k] scheduler_tick
     0.02%     0.00%  sshd             [kernel.kallsyms]                  [k] sock_sendmsg
     0.02%     0.00%  swapper          [kernel.kallsyms]                  [k] tick_nohz_get_sleep_length
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] up_write
     0.02%     0.00%  G1 Refine#15     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] __inc_zone_page_state
     0.02%     0.00%  G1 Refine#20     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.00%  C1 CompilerThre  [kernel.kallsyms]                  [k] __x64_sys_futex
     0.02%     0.00%  G1 Refine#18     [kernel.kallsyms]                  [k] tick_sched_handle
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] check_preempt_curr
     0.02%     0.00%  GC Thread#17     [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  GC Thread#17     [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] blk_mq_end_request
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] blk_update_request
     0.02%     0.00%  GC Thread#0      [kernel.kallsyms]                  [k] __remove_mapping
     0.02%     0.00%  G1 Refine#18     [kernel.kallsyms]                  [k] update_process_times
     0.02%     0.00%  GC Thread#9      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  GC Thread#8      [kernel.kallsyms]                  [k] __remove_mapping
     0.02%     0.00%  G1 Refine#17     [kernel.kallsyms]                  [k] __run_hrtimer
     0.02%     0.00%  GC Thread#7      [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  kswapd0          [kernel.kallsyms]                  [k] prune_dcache_sb
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] update_rt_rq_load_avg
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] file_modified
     0.02%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  sshd             [kernel.kallsyms]                  [k] tcp_sendmsg
     0.02%     0.00%  G1 Refine#22     [kernel.kallsyms]                  [k] tick_sched_handle
     0.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.02%     0.00%  GC Thread#19     [kernel.kallsyms]                  [k] __remove_mapping
     0.02%     0.00%  G1 Refine#14     [kernel.kallsyms]                  [k] tick_sched_handle
     0.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                  [k] exc_page_fault
     0.02%     0.00%  C1 CompilerThre  [kernel.kallsyms]                  [k] do_futex
     0.02%     0.00%  dag-scheduler-e  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.01%  GC Thread#5      [kernel.kallsyms]                  [k] perf_adjust_freq_unthr_context
     0.02%     0.00%  G1 Refine#21     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.02%  kworker/u64:36-  [kernel.kallsyms]                  [k] xas_find_marked
     0.02%     0.00%  G1 Refine#22     [kernel.kallsyms]                  [k] update_process_times
     0.02%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] swap_writepage
     0.02%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] end_swap_bio_write
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] pick_next_entity
     0.02%     0.00%  GC Thread#7      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  C1 CompilerThre  [kernel.kallsyms]                  [k] __sysvec_apic_timer_interrupt
     0.02%     0.00%  GC Thread#14     [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  dag-scheduler-e  [kernel.kallsyms]                  [k] do_syscall_64
     0.02%     0.00%  G1 Refine#16     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.00%  G1 Refine#14     [kernel.kallsyms]                  [k] update_process_times
     0.02%     0.02%  GC Thread#13     [kernel.kallsyms]                  [k] page_mapping
     0.02%     0.00%  GC Thread#15     [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  sshd             [kernel.kallsyms]                  [k] tcp_sendmsg_locked
     0.02%     0.01%  GC Thread#18     [kernel.kallsyms]                  [k] page_counter_try_charge
     0.02%     0.00%  GC Thread#9      [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  swapper          [kernel.kallsyms]                  [k] blk_mq_end_request
     0.02%     0.00%  G1 Refine#20     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] bio_integrity_prep
     0.02%     0.00%  G1 Conc#3        [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.02%     0.01%  kworker/u64:39-  [kernel.kallsyms]                  [k] percpu_counter_add_batch
     0.02%     0.00%  G1 Refine#19     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.00%  G1 Conc#3        [kernel.kallsyms]                  [k] exc_page_fault
     0.02%     0.00%  G1 Conc#3        [kernel.kallsyms]                  [k] do_user_addr_fault
     0.02%     0.00%  G1 Refine#1      [kernel.kallsyms]                  [k] do_user_addr_fault
     0.02%     0.00%  G1 Conc#2        [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  GC Thread#10     [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.01%  Executor task l  [kernel.kallsyms]                  [k] ondemand_readahead
     0.02%     0.00%  C1 CompilerThre  [kernel.kallsyms]                  [k] hrtimer_interrupt
     0.02%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] swap_writepage
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] __rq_qos_done
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] fput
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] ext4_es_can_be_merged.isra.0
     0.02%     0.00%  G1 Conc#4        [kernel.kallsyms]                  [k] task_tick_fair
     0.02%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] swap_writepage
     0.02%     0.02%  Executor task l  [kernel.kallsyms]                  [k] mem_cgroup_uncharge_list
     0.02%     0.00%  swapper          [kernel.kallsyms]                  [k] blk_update_request
     0.02%     0.00%  G1 Refine#15     [kernel.kallsyms]                  [k] tick_sched_handle
     0.02%     0.00%  spark-listener-  [kernel.kallsyms]                  [k] entry_SYSCALL_64_after_hwframe
     0.02%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] perf_event_task_tick
     0.02%     0.00%  GC Thread#6      [kernel.kallsyms]                  [k] lru_note_cost
     0.02%     0.00%  G1 Conc#1        [kernel.kallsyms]                  [k] handle_mm_fault
     0.02%     0.00%  spark-listener-  [kernel.kallsyms]                  [k] do_syscall_64
     0.02%     0.00%  GC Thread#21     [kernel.kallsyms]                  [k] _raw_spin_lock_irqsave
     0.02%     0.00%  Executor task l  [kernel.kallsyms]                  [k] wake_page_function
     0.02%     0.01%  GC Thread#18     [kernel.kallsyms]                  [k] mem_cgroup_id_get_online
     0.02%     0.00%  G1 Refine#17     [kernel.kallsyms]                  [k] tick_sched_timer
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] nvme_process_cq
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] __handle_irq_event_percpu
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] nvme_irq
     0.02%     0.01%  GC Thread#4      [kernel.kallsyms]                  [k] end_page_writeback
     0.02%     0.00%  G1 Conc#4        [kernel.kallsyms]                  [k] asm_exc_page_fault
     0.02%     0.00%  G1 Refine#15     [kernel.kallsyms]                  [k] update_process_times
     0.02%     0.01%  kworker/u64:36-  [kernel.kallsyms]                  [k] find_get_pages_range
     0.02%     0.00%  kworker/u64:36-  [kernel.kallsyms]                  [k] pagevec_lookup_range
     0.02%     0.01%  kworker/u64:36-  [kernel.kallsyms]                  [k] __mod_memcg_lruvec_state
