# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 4274814276032
#
# Children      Self  Command          Shared Object                      Symbol                                                                                                                                                                                                         
# ........  ........  ...............  .................................  ...............................................................................................................................................................................................................
#
     2.05%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] __handle_mm_fault
     2.05%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] exc_page_fault
     2.05%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] handle_mm_fault
     2.05%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] do_user_addr_fault
     2.04%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] asm_exc_page_fault
     2.04%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] handle_mm_fault
     2.04%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] exc_page_fault
     2.04%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] asm_exc_page_fault
     2.04%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] exc_page_fault
     2.04%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] do_user_addr_fault
     2.04%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] do_user_addr_fault
     2.04%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] do_anonymous_page
     2.04%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] __handle_mm_fault
     2.04%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] __handle_mm_fault
     2.04%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] do_anonymous_page
     2.04%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] handle_mm_fault
     2.04%     0.00%  GC Thread#22     [kernel.kallsyms]                  [k] do_anonymous_page
     2.04%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] handle_mm_fault
     2.04%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] __handle_mm_fault
     2.03%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] __handle_mm_fault
     2.03%     0.00%  GC Thread#18     [kernel.kallsyms]                  [k] do_anonymous_page
     2.03%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] handle_mm_fault
     2.03%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] do_anonymous_page
     2.03%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] __handle_mm_fault
     2.03%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] alloc_pages_vma
     2.03%     0.03%  Executor task l  [kernel.kallsyms]                  [k] kernel_init_free_pages.part.0
     2.03%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] do_anonymous_page
     2.03%     0.00%  GC Thread#11     [kernel.kallsyms]                  [k] __alloc_pages
     2.02%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] alloc_pages_vma
     2.02%     0.00%  GC Thread#13     [kernel.kallsyms]                  [k] __alloc_pages
     2.01%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] alloc_pages_vma
     2.01%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] __alloc_pages
     2.01%     0.00%  GC Thread#1      [kernel.kallsyms]                  [k] alloc_pages_vma
     2.01%     0.00%  GC Thread#2      [kernel.kallsyms]                  [k] __alloc_pages
     2.00%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] asm_exc_page_fault
     2.00%     1.93%  Executor task l  [kernel.kallsyms]                  [k] clear_page_rep
     2.00%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] alloc_pages_vma
     2.00%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] exc_page_fault
     2.00%     0.00%  GC Thread#4      [kernel.kallsyms]                  [k] __alloc_pages
     2.00%     0.00%  GC Thread#20     [kernel.kallsyms]                  [k] do_user_addr_fault
