# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7078262200336
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
    28.72%     0.26%  java             [kernel.kallsyms]     [k] asm_exc_page_fault
    26.87%     0.30%  java             [kernel.kallsyms]     [k] exc_page_fault
    24.49%     0.36%  java             [kernel.kallsyms]     [k] do_user_addr_fault
    21.23%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
    21.21%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] do_syscall_64
    19.64%     0.88%  java             [kernel.kallsyms]     [k] handle_mm_fault
    17.22%     0.19%  LocalJobRunner   [kernel.kallsyms]     [k] asm_exc_page_fault
    17.13%     3.70%  java             [kernel.kallsyms]     [k] __handle_mm_fault
    15.56%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] exc_page_fault
    14.83%     0.24%  LocalJobRunner   [kernel.kallsyms]     [k] do_user_addr_fault
    14.04%     0.38%  LocalJobRunner   [kernel.kallsyms]     [k] handle_mm_fault
    13.00%     1.46%  LocalJobRunner   [kernel.kallsyms]     [k] __handle_mm_fault
    10.16%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_write
    10.16%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_write
    10.16%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_write
    10.16%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_write
    10.16%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_write_iter
    10.16%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_buffered_write_iter
    10.13%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] generic_perform_write
     9.93%     0.16%  java             [kernel.kallsyms]     [k] migrate_misplaced_page
     9.70%     9.30%  LocalJobRunner   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     9.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_read
     9.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ksys_read
     9.54%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] vfs_read
     9.53%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] new_sync_read
     9.53%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_file_read_iter
     9.53%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] generic_file_read_iter
     9.53%     0.17%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_read
     8.83%     0.75%  java             [kernel.kallsyms]     [k] migrate_pages
     6.80%     0.21%  LocalJobRunner   [kernel.kallsyms]     [k] __alloc_pages
     6.73%     0.00%  swapper          [kernel.kallsyms]     [k] secondary_startup_64_no_verify
     6.73%     0.00%  swapper          [kernel.kallsyms]     [k] cpu_startup_entry
     6.71%     0.02%  swapper          [kernel.kallsyms]     [k] do_idle
     6.56%     0.53%  LocalJobRunner   [kernel.kallsyms]     [k] get_page_from_freelist
     6.53%     0.00%  swapper          [kernel.kallsyms]     [k] start_secondary
     6.27%     0.00%  swapper          [kernel.kallsyms]     [k] cpuidle_enter
     6.27%     0.01%  swapper          [kernel.kallsyms]     [k] cpuidle_enter_state
     6.15%     6.14%  swapper          [kernel.kallsyms]     [k] mwait_idle_with_hints.constprop.0
     5.09%     5.07%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     4.97%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     4.93%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     4.74%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     4.57%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     4.55%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     4.47%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit
     4.46%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     4.24%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_work_run
     4.24%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] task_numa_work
     4.23%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] change_prot_numa
     3.78%     3.56%  LocalJobRunner   [kernel.kallsyms]     [k] change_protection
     3.77%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     3.73%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     3.55%     3.52%  java             [kernel.kallsyms]     [k] down_read_trylock
     2.98%     0.05%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     2.91%     0.06%  java             [kernel.kallsyms]     [k] do_syscall_64
     2.88%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     2.86%     0.01%  java             [kernel.kallsyms]     [k] migrate_page
     2.85%     0.37%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     2.62%     0.01%  java             [kernel.kallsyms]     [k] rmap_walk
     2.45%     0.01%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     2.41%     0.01%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     2.37%     0.21%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     2.31%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_misplaced_page
     2.19%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
