# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11366040176827
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     2.59%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_file_write_iter
     2.59%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] new_sync_write
     2.59%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_buffered_write_iter
     2.59%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_perform_write
     2.56%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     2.54%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     2.47%     0.02%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     2.46%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     2.45%     2.43%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     2.25%     2.24%  java             [kernel.kallsyms]     [k] up_read
     2.20%     0.14%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     2.02%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     2.01%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     1.92%     1.92%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     1.86%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     1.82%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     1.82%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     1.82%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     1.82%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     1.82%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     1.82%     0.08%  localfetcher#1   [kernel.kallsyms]     [k] workingset_refault
     1.79%     0.01%  java             [kernel.kallsyms]     [k] __alloc_pages_slowpath.constprop.0
     1.65%     0.01%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     1.56%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     1.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     1.53%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.50%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     1.49%     0.20%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     1.48%     0.00%  java             [kernel.kallsyms]     [k] rmap_walk
     1.39%     0.06%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     1.39%     0.00%  java             [kernel.kallsyms]     [k] try_to_free_pages
     1.38%     0.00%  java             [kernel.kallsyms]     [k] do_try_to_free_pages
     1.38%     0.00%  java             [kernel.kallsyms]     [k] shrink_node
     1.37%     0.24%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     1.37%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.34%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     1.33%     0.13%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     1.33%     0.01%  java             [kernel.kallsyms]     [k] migrate_page
     1.31%     0.00%  java             [kernel.kallsyms]     [k] shrink_lruvec
     1.31%     0.02%  java             [kernel.kallsyms]     [k] find_vma
     1.30%     1.29%  java             [kernel.kallsyms]     [k] vmacache_find
     1.30%     0.14%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.24%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     1.24%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     1.24%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     1.24%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     1.24%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     1.22%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     1.22%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     1.22%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     1.22%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     1.22%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     1.21%     0.17%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     1.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.19%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] do_syscall_64
     1.18%     1.17%  java             [kernel.kallsyms]     [k] sync_regs
     1.18%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     1.15%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     1.13%     0.12%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     1.12%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.12%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] pagecache_get_page
     1.12%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     1.11%     0.39%  LocalJobRunner   [kernel.kallsyms]     [k] charge_memcg
     1.09%     1.08%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     1.07%     0.34%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     1.03%     1.03%  java             [kernel.kallsyms]     [k] clear_page_erms
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.96%     0.75%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.96%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_syscall_64
     0.94%     0.02%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.94%     0.66%  LocalJobRunner   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.94%     0.94%  LocalJobRunner   libc.so.6             [.] 0x00000000001b2eae
     0.94%     0.01%  java             [kernel.kallsyms]     [k] shrink_page_list
     0.92%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     0.92%     0.02%  java             [kernel.kallsyms]     [k] do_syscall_64
     0.92%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __x64_sys_read
     0.92%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ksys_read
     0.92%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] vfs_read
     0.92%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] new_sync_read
     0.92%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ext4_file_read_iter
     0.92%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] generic_file_read_iter
     0.92%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] filemap_read
     0.91%     0.90%  LocalJobRunner   [kernel.kallsyms]     [k] sync_regs
     0.90%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.88%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.87%     0.07%  localfetcher#1   [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.86%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_misplaced_page
     0.84%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.83%     0.00%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.83%     0.81%  localfetcher#1   [kernel.kallsyms]     [k] clear_page_erms
     0.82%     0.82%  java             [kernel.kallsyms]     [k] copy_page
     0.82%     0.00%  java             [kernel.kallsyms]     [k] try_to_migrate
     0.80%     0.34%  java             [kernel.kallsyms]     [k] __count_memcg_events
     0.79%     0.46%  localfetcher#1   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.79%     0.58%  Sampler Reader   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     0.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     0.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     0.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     0.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     0.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
     0.78%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     0.78%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages_vma
     0.78%     0.09%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     0.76%     0.01%  java             [kernel.kallsyms]     [k] __remove_mapping
     0.75%     0.11%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_pages
     0.73%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages
     0.72%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __page_cache_alloc
     0.69%     0.05%  InMemoryMerger   [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.66%     0.66%  localfetcher#1   [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.66%     0.01%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
     0.65%     0.00%  VM Thread        [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.65%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_syscall_64
     0.64%     0.09%  java             [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.63%     0.20%  localfetcher#1   [kernel.kallsyms]     [k] charge_memcg
     0.63%     0.02%  java             [kernel.kallsyms]     [k] do_sched_yield
     0.62%     0.15%  java             [kernel.kallsyms]     [k] try_to_migrate_one
     0.60%     0.58%  LocalJobRunner   [kernel.kallsyms]     [k] __ptep_modify_prot_start
     0.60%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_end
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] ksys_mmap_pgoff
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] __x64_sys_mmap
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] vm_mmap_pgoff
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] do_mmap
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] mmap_region
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] __do_munmap
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_region
     0.58%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_write_end
     0.58%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_single_vma
     0.58%     0.00%  VM Thread        [kernel.kallsyms]     [k] unmap_vmas
     0.58%     0.01%  java             [kernel.kallsyms]     [k] schedule
     0.58%     0.11%  VM Thread        [kernel.kallsyms]     [k] unmap_page_range
     0.57%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add
     0.57%     0.42%  InMemoryMerger   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.56%     0.10%  java             [kernel.kallsyms]     [k] __schedule
     0.56%     0.13%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.54%     0.04%  java             [kernel.kallsyms]     [k] isolate_lru_page
     0.54%     0.00%  java             [kernel.kallsyms]     [k] __put_page
     0.53%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.53%     0.03%  java             [kernel.kallsyms]     [k] lru_cache_add
     0.52%     0.43%  LocalJobRunner   [kernel.kallsyms]     [k] try_charge_memcg
     0.51%     0.00%  java             [kernel.kallsyms]     [k] alloc_misplaced_dst_page
     0.51%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_block_write_begin
     0.50%     0.21%  LocalJobRunner   [kernel.kallsyms]     [k] __pagevec_lru_add
     0.50%     0.01%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.49%     0.12%  java             [kernel.kallsyms]     [k] __pagevec_lru_add
     0.49%     0.01%  java             [kernel.kallsyms]     [k] migrate_page_copy
     0.49%     0.01%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
     0.49%     0.44%  java             [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.48%     0.08%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.48%     0.07%  java             [kernel.kallsyms]     [k] migrate_page_states
