# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 98K of event 'cycles'
# Event count (approx.): 3453612818999
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     1.02%     0.00%  java             [kernel.kallsyms]  [k] mmput
     1.01%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     1.01%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     1.01%     0.18%  java             [kernel.kallsyms]  [k] unmap_page_range
     0.99%     0.08%  java             [kernel.kallsyms]  [k] _raw_spin_lock
     0.98%     0.96%  java             [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.93%     0.92%  pool-4-thread-1  [kernel.kallsyms]  [k] clear_page_erms
     0.90%     0.28%  pool-4-thread-1  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.90%     0.27%  pool-4-thread-1  [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.85%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     0.85%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     0.85%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     0.85%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     0.85%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     0.83%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_block_write_begin
     0.83%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.75%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __page_cache_alloc
     0.75%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     0.75%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     0.75%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     0.74%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     0.74%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     0.72%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] kthread
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] process_one_work
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] ret_from_fork
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] worker_thread
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] __writeback_inodes_wb
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] __writeback_single_inode
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] do_writepages
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] wb_workfn
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] wb_writeback
     0.71%     0.00%  kworker/u98:2-f  [kernel.kallsyms]  [k] writeback_sb_inodes
     0.71%     0.04%  kworker/u98:2-f  [kernel.kallsyms]  [k] ext4_writepages
     0.66%     0.66%  pool-4-thread-1  [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.66%     0.05%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.64%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.64%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     0.64%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     0.64%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.64%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     0.63%     0.00%  java             [kernel.kallsyms]  [k] tlb_flush_mmu
     0.62%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] __ext4_mark_inode_dirty
     0.61%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] __mem_cgroup_charge
