# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 14613410959108
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    38.19%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
    38.19%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
    38.18%     0.01%  swapper          [kernel.kallsyms]         [k] do_idle
    38.03%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
    38.03%     0.01%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
    37.84%    36.09%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
    36.63%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
    18.19%     0.11%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    17.45%     0.25%  java             [kernel.kallsyms]         [k] exc_page_fault
    15.37%     0.13%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    10.76%     0.47%  java             [kernel.kallsyms]         [k] handle_mm_fault
     9.43%     2.61%  java             [kernel.kallsyms]         [k] __handle_mm_fault
     9.13%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
     8.46%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     8.46%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
     8.15%     0.07%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
     7.73%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
     7.29%     0.22%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     6.71%     0.78%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     4.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     4.33%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] do_syscall_64
     4.22%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     4.22%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     4.22%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     4.22%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     4.22%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     4.22%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     4.21%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     4.16%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     4.16%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
     4.02%     3.99%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     3.99%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     3.99%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     3.99%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     3.99%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     3.98%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     3.98%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     3.98%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     3.91%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
     3.91%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
     3.91%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
     3.91%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] new_sync_read
     3.91%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
     3.90%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] generic_file_read_iter
     3.90%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] filemap_read
     3.77%     0.06%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
     3.59%     3.56%  java             [kernel.kallsyms]         [k] down_read_trylock
     3.32%     0.27%  java             [kernel.kallsyms]         [k] migrate_pages
     3.07%     0.11%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     2.95%     0.33%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     2.87%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     2.87%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] do_syscall_64
     2.85%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] __x64_sys_write
     2.85%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ksys_write
     2.85%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] vfs_write
     2.85%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] new_sync_write
     2.85%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_file_write_iter
     2.85%     0.00%  InMemoryMerger   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     2.85%     0.01%  InMemoryMerger   [kernel.kallsyms]         [k] generic_perform_write
     2.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] __x64_sys_write
     2.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ksys_write
     2.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] vfs_write
     2.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] new_sync_write
     2.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_file_write_iter
     2.64%     0.00%  pool-4-thread-1  [kernel.kallsyms]         [k] ext4_buffered_write_iter
     2.64%     0.01%  pool-4-thread-1  [kernel.kallsyms]         [k] generic_perform_write
     2.55%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     2.54%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     2.47%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     2.46%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     2.45%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     2.36%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     2.36%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     2.36%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     2.33%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages_vma
     2.32%     1.08%  localfetcher#1   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     2.17%     2.16%  LocalJobRunner   [kernel.kallsyms]         [k] clear_page_erms
