# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3608041340445
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
     1.38%     0.01%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.34%     1.16%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.30%     0.15%  Executor task l  [kernel.kallsyms]                   [k] lru_cache_add
     1.27%     0.26%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irq
     1.25%     0.15%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.24%     1.20%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.24%     0.83%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.22%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.20%     0.73%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.19%     0.04%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.16%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.15%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.14%     0.67%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.09%     0.02%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.08%     0.15%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     1.05%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.05%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.05%     0.01%  swapper          [kernel.kallsyms]                   [k] do_idle
     1.02%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     1.00%     0.11%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     0.99%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     0.99%     0.09%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     0.97%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     0.97%     0.47%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.96%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     0.96%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     0.91%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     0.91%     0.41%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.90%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.89%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] __unmap_and_move
     0.86%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
