# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3658951943881
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ..................................  ...............................................................................................................................................................................................................
#
     1.35%     0.01%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
     1.33%     0.31%  Executor task l  [kernel.kallsyms]                   [k] _raw_spin_lock_irqsave
     1.33%     0.01%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.32%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     1.32%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     1.32%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     1.32%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     1.32%     0.12%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.31%     1.14%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.30%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     1.29%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     1.26%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     1.22%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] __unmap_and_move
     1.20%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.20%     0.72%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.18%     0.79%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.17%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.16%     1.12%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.16%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.15%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages_slowpath.constprop.0
     1.14%     0.03%  Executor task l  [kernel.kallsyms]                   [k] mem_cgroup_charge
     1.14%     0.68%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
