# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 45K of event 'cycles'
# Event count (approx.): 5822082299052
#
# Children      Self  Command          Shared Object          Symbol                                        
# ........  ........  ...............  .....................  ..............................................
#
     1.77%     0.02%  kswapd1          [kernel.kallsyms]      [k] shrink_node
     1.77%     0.00%  kswapd1          [kernel.kallsyms]      [k] balance_pgdat
     1.75%     1.68%  swapper          [kernel.kallsyms]      [k] poll_idle
     1.73%     0.00%  kcompactd1       [kernel.kallsyms]      [k] rmap_walk
     1.61%     0.02%  kcompactd1       [kernel.kallsyms]      [k] rmap_walk_file
     1.60%     0.05%  postgres         [kernel.kallsyms]      [k] futex_wait_queue_me
     1.57%     0.04%  kcompactd0       [kernel.kallsyms]      [k] remove_migration_pte
     1.56%     0.00%  postgres         [kernel.kallsyms]      [k] free_pgtables
     1.55%     0.05%  postgres         [kernel.kallsyms]      [k] free_pgd_range
     1.53%     0.66%  postgres         [kernel.kallsyms]      [k] _raw_spin_lock
     1.48%     0.26%  postgres         [kernel.kallsyms]      [k] ___pte_free_tlb
     1.40%     0.00%  postgres         [kernel.kallsyms]      [k] __x64_sys_pwrite64
     1.40%     0.01%  postgres         [kernel.kallsyms]      [k] vfs_write
     1.40%     0.00%  postgres         [kernel.kallsyms]      [k] asm_sysvec_apic_timer_interrupt
     1.39%     0.00%  postgres         [kernel.kallsyms]      [k] new_sync_write
     1.39%     0.00%  postgres         [kernel.kallsyms]      [k] sysvec_apic_timer_interrupt
     1.38%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_buffered_write_iter
     1.38%     0.00%  postgres         [kernel.kallsyms]      [k] ext4_file_write_iter
     1.37%     0.01%  swapper          [kernel.kallsyms]      [k] schedule_idle
     1.35%     1.09%  postgres         [kernel.kallsyms]      [k] copy_user_enhanced_fast_string
     1.34%     0.12%  swapper          [kernel.kallsyms]      [k] __schedule
     1.33%     0.01%  postgres         [kernel.kallsyms]      [k] generic_perform_write
     1.20%     0.10%  postgres         [kernel.kallsyms]      [k] free_unref_page_list
     1.13%     0.00%  postgres         [kernel.kallsyms]      [k] tlb_remove_page
     1.11%     0.03%  postgres         [kernel.kallsyms]      [k] free_unref_page_commit.constprop.0
     1.08%     0.10%  postgres         [kernel.kallsyms]      [k] free_pcppages_bulk
     1.07%     1.03%  kcompactd1       [kernel.kallsyms]      [k] page_vma_mapped_walk
     1.02%     0.00%  kcompactd1       [kernel.kallsyms]      [k] try_to_migrate
     0.99%     0.01%  postgres         [kernel.kallsyms]      [k] ttwu_do_activate
     0.95%     0.07%  postgres         [kernel.kallsyms]      [k] filemap_map_pages
