# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cycles'
# Event count (approx.): 91987450879
#
# Children      Self  Command          Shared Object        Symbol                                                                                                   
# ........  ........  ...............  ...................  .........................................................................................................
#
     2.04%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     2.04%     0.02%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     2.03%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_call_function_single
     2.03%     0.28%  swapper          [kernel.kallsyms]    [k] menu_select
     1.97%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.91%     0.03%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.91%     0.00%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.89%     0.68%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.89%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.88%     0.20%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.87%     0.05%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.86%     0.64%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.84%     0.07%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.81%     0.12%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     1.77%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.77%     0.00%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.76%     0.08%  mariadbd         [kernel.kallsyms]    [k] swap_vma_readahead
     1.76%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.75%     0.05%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.74%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.73%     0.00%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.71%     0.01%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     1.69%     0.02%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.67%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_futex
     1.67%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] do_futex
     1.66%     0.17%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.66%     0.00%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.65%     0.12%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.62%     0.09%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.57%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_apic_timer_interrupt
     1.54%     0.01%  swapper          [kernel.kallsyms]    [k] hrtimer_interrupt
     1.53%     0.31%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.50%     0.04%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.50%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     1.48%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     1.48%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     1.48%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     1.48%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     1.48%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     1.48%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     1.47%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     1.47%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_lruvec
     1.46%     0.83%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.46%     0.24%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.44%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_inactive_list
     1.42%     0.54%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.41%     1.37%  tclsh8.6         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.39%     0.12%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.39%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.39%     0.04%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.39%     0.00%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.35%     0.06%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.35%     0.29%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.33%     0.15%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.33%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.30%     0.20%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.30%     0.13%  mariadbd         [kernel.kallsyms]    [k] perf_adjust_freq_unthr_context
     1.30%     0.00%  mariadbd         [kernel.kallsyms]    [k] perf_event_task_tick
     1.29%     0.03%  mariadbd         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     1.26%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_write_checks
     1.25%     0.00%  mariadbd         [kernel.kallsyms]    [k] get_user_pages_unlocked
     1.25%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.25%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.23%     0.07%  swapper          [kernel.kallsyms]    [k] flush_smp_call_function_from_idle
     1.23%     0.00%  mariadbd         [kernel.kallsyms]    [k] __get_user_pages
     1.23%     1.18%  mariadbd         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.23%     0.00%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common_lock
     1.22%     0.05%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.20%     0.05%  mariadbd         [kernel.kallsyms]    [k] sock_def_readable
     1.20%     0.00%  swapper          [kernel.kallsyms]    [k] __hrtimer_run_queues
     1.20%     0.00%  swapper          [kernel.kallsyms]    [k] __run_hrtimer
     1.20%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_timer
     1.20%     0.13%  mariadbd         [kernel.kallsyms]    [k] __wake_up_common
     1.19%     0.03%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.19%     0.07%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.17%     0.02%  mariadbd         [kernel.kallsyms]    [k] __sys_recvfrom
     1.17%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     1.16%     0.00%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.15%     0.42%  swapper          [kernel.kallsyms]    [k] enqueue_entity
     1.14%     0.02%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.12%     0.00%  mariadbd         [kernel.kallsyms]    [k] blk_mq_end_request
     1.09%     0.02%  mariadbd         [kernel.kallsyms]    [k] amd_pmu_disable_all
     1.08%     0.01%  mariadbd         [kernel.kallsyms]    [k] vfs_write
     1.08%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pwrite64
     1.08%     0.06%  tclsh8.6         [kernel.kallsyms]    [k] schedule
     1.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] ext4_buffered_write_iter
     1.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] generic_perform_write
     1.07%     0.00%  mariadbd         [kernel.kallsyms]    [k] new_sync_write
     1.06%     0.02%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
     1.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     1.05%     1.05%  mariadbd         [kernel.kallsyms]    [k] __default_send_IPI_dest_field
     1.05%     0.09%  swapper          [kernel.kallsyms]    [k] update_process_times
     1.05%     0.00%  swapper          [kernel.kallsyms]    [k] tick_sched_handle
     1.04%     0.07%  mariadbd         [kernel.kallsyms]    [k] find_busiest_group
     1.04%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_mq_flush_plug_list
     1.04%     0.02%  mariadbd         [kernel.kallsyms]    [k] alloc_skb_with_frags
     1.04%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_finish_plug
     1.04%     0.12%  mariadbd         [kernel.kallsyms]    [k] unix_stream_read_generic
     1.04%     0.00%  mariadbd         [kernel.kallsyms]    [k] unix_stream_recvmsg
     1.03%     0.09%  mariadbd         [kernel.kallsyms]    [k] pollwake
     1.03%     0.44%  mariadbd         [kernel.kallsyms]    [k] ext4_find_extent
     1.02%     0.20%  tclsh8.6         [kernel.kallsyms]    [k] __schedule
     1.01%     0.11%  mariadbd         [kernel.kallsyms]    [k] __alloc_skb
     1.01%     0.01%  mariadbd         [kernel.kallsyms]    [k] blk_mq_sched_insert_requests
     1.00%     0.06%  mariadbd         [kernel.kallsyms]    [k] blk_mq_try_issue_list_directly
     1.00%     0.26%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_work
     0.99%     0.28%  mariadbd         [kernel.kallsyms]    [k] futex_wait_setup
     0.99%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_submit_bio
     0.98%     0.00%  swapper          [kernel.kallsyms]    [k] __common_interrupt
     0.98%     0.00%  swapper          [kernel.kallsyms]    [k] handle_edge_irq
     0.98%     0.00%  swapper          [kernel.kallsyms]    [k] handle_irq_event
     0.98%     0.02%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     0.97%     0.18%  mariadbd         [kernel.kallsyms]    [k] update_sd_lb_stats.constprop.0
     0.96%     0.03%  mariadbd         [kernel.kallsyms]    [k] __blk_mq_try_issue_directly
     0.95%     0.15%  mariadbd         [kernel.kallsyms]    [k] __irq_exit_rcu
     0.94%     0.23%  mariadbd         [kernel.kallsyms]    [k] select_idle_cpu
     0.94%     0.55%  swapper          [kernel.kallsyms]    [k] update_load_avg
     0.94%     0.04%  mariadbd         [kernel.kallsyms]    [k] blk_update_request
     0.94%     0.08%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     0.94%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] schedule_hrtimeout_range_clock
     0.93%     0.01%  swapper          [kernel.kallsyms]    [k] __handle_irq_event_percpu
     0.93%     0.07%  mariadbd         [kernel.kallsyms]    [k] nvme_queue_rq
     0.92%     0.26%  mariadbd         [kernel.kallsyms]    [k] ttwu_queue_wakelist
     0.92%     0.01%  swapper          [kernel.kallsyms]    [k] nvme_process_cq
     0.92%     0.00%  swapper          [kernel.kallsyms]    [k] nvme_irq
     0.92%     0.02%  swapper          [kernel.kallsyms]    [k] tick_nohz_get_sleep_length
     0.90%     0.00%  tclsh8.6         [kernel.kallsyms]    [k] futex_wait
     0.88%     0.03%  mariadbd         [kernel.kallsyms]    [k] asm_sysvec_call_function_single
     0.87%     0.02%  tclsh8.6         [kernel.kallsyms]    [k] sock_alloc_send_pskb
     0.86%     0.01%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     0.86%     0.76%  mariadbd         [kernel.kallsyms]    [k] xas_load
     0.84%     0.05%  swapper          [kernel.kallsyms]    [k] scheduler_tick
     0.84%     0.16%  mariadbd         [kernel.kallsyms]    [k] enqueue_entity
