# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 468  of event 'cycles'
# Event count (approx.): 901508276685
#
# Children      Self  Command          Shared Object      Symbol                                 
# ........  ........  ...............  .................  .......................................
#
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.11%     0.06%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_user_addr_fault
     0.11%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exc_page_fault
     0.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] flush_tlb_mm_range
     0.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] native_flush_tlb_multi
     0.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] on_each_cpu_cond_mask
     0.09%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ptep_clear_flush
     0.09%     0.09%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.09%     0.06%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __handle_mm_fault
     0.08%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] handle_mm_fault
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.08%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.06%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_statx
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_pages
     0.06%     0.03%  kcompactd0       [kernel.kallsyms]  [k] smp_call_function_many_cond
     0.06%     0.06%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.06%     0.06%  kcompactd0       [kernel.kallsyms]  [k] _raw_spin_lock
     0.06%     0.06%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.06%     0.03%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk
     0.06%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] rmap_walk_anon
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] migrate_page
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] move_to_new_page
     0.06%     0.00%  kcompactd0       [kernel.kallsyms]  [k] isolate_freepages_block
     0.06%     0.03%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.05%     0.05%  postgres         [kernel.kallsyms]  [k] set_page_dirty
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] hrtimer_interrupt
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] tick_sched_timer
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] perf_event_task_tick
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] scheduler_tick
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] tick_sched_handle
     0.05%     0.00%  swapper          [kernel.kallsyms]  [k] update_process_times
     0.05%     0.05%  swapper          [kernel.kallsyms]  [k] native_write_msr
