# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 166397942661
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                  
# ........  ........  ...............  ...................  ........................................................................................................................
#
     2.10%     0.00%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     2.07%     0.01%  mariadbd         [kernel.kallsyms]    [k] __hrtimer_run_queues
     2.06%     0.02%  mariadbd         [kernel.kallsyms]    [k] __run_hrtimer
     2.06%     0.17%  mariadbd         [kernel.kallsyms]    [k] newidle_balance
     2.05%     0.04%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     2.05%     0.00%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     2.01%     0.02%  mariadbd         [kernel.kallsyms]    [k] ext4_iomap_begin
     2.01%     0.02%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.99%     0.08%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.98%     0.01%  mariadbd         [kernel.kallsyms]    [k] tick_sched_timer
     1.93%     0.01%  mariadbd         [kernel.kallsyms]    [k] __sys_sendto
     1.93%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_sendto
     1.90%     0.01%  mariadbd         [kernel.kallsyms]    [k] iov_iter_get_pages
     1.89%     0.02%  mariadbd         [kernel.kallsyms]    [k] internal_get_user_pages_fast
     1.89%     0.01%  mariadbd         [kernel.kallsyms]    [k] sock_sendmsg
     1.88%     0.21%  mariadbd         [kernel.kallsyms]    [k] dequeue_entity
     1.87%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.85%     0.05%  swapper          [kernel.kallsyms]    [k] tick_nohz_idle_stop_tick
     1.83%     0.03%  mariadbd         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.82%     0.03%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.82%     0.11%  swapper          [kernel.kallsyms]    [k] sched_ttwu_pending
     1.80%     0.03%  mariadbd         [kernel.kallsyms]    [k] ext4_ext_map_blocks
     1.79%     0.03%  mariadbd         [kernel.kallsyms]    [k] io_schedule_timeout
     1.79%     0.48%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.76%     0.06%  mariadbd         [kernel.kallsyms]    [k] syscall_exit_to_user_mode
     1.72%     0.00%  mariadbd         [kernel.kallsyms]    [k] tick_sched_handle
     1.70%     0.09%  mariadbd         [kernel.kallsyms]    [k] update_process_times
     1.70%     0.69%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.70%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.68%     0.10%  mariadbd         [kernel.kallsyms]    [k] schedule_timeout
     1.67%     0.38%  mariadbd         [kernel.kallsyms]    [k] ext4_find_extent
     1.63%     0.16%  mariadbd         [kernel.kallsyms]    [k] select_task_rq_fair
     1.61%     0.02%  swapper          [kernel.kallsyms]    [k] blk_mq_end_request
     1.58%     0.01%  mariadbd         [kernel.kallsyms]    [k] __read_swap_cache_async
     1.57%     0.03%  mariadbd         [kernel.kallsyms]    [k] __submit_bio_noacct_mq
     1.57%     0.06%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.55%     0.06%  swapper          [kernel.kallsyms]    [k] __irq_exit_rcu
     1.53%     0.03%  mariadbd         [kernel.kallsyms]    [k] blk_mq_submit_bio
     1.52%     0.00%  kcompactd0       [kernel.kallsyms]    [k] rmap_walk_anon
     1.50%     0.00%  mariadbd         [kernel.kallsyms]    [k] asm_common_interrupt
     1.46%     0.83%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.46%     0.00%  kcompactd0       [kernel.kallsyms]    [k] try_to_migrate
     1.46%     0.00%  kcompactd0       [kernel.kallsyms]    [k] try_to_migrate_one
     1.45%     0.04%  mariadbd         [kernel.kallsyms]    [k] pagecache_get_page
     1.44%     0.03%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     1.43%     0.01%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.42%     0.03%  swapper          [kernel.kallsyms]    [k] __softirqentry_text_start
