# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 261K of event 'cycles'
# Event count (approx.): 5041985941317
#
# Children      Self  Command          Shared Object                       Symbol                                           
# ........  ........  ...............  ..................................  .................................................
#
     1.03%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_syscall_64
     1.03%     0.08%  cluster1-nio-wo  [kernel.kallsyms]                   [k] try_to_wake_up
     0.96%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] alloc_pages
     0.95%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __page_cache_alloc
     0.93%     0.03%  Native-Transpor  [kernel.kallsyms]                   [k] __alloc_pages
     0.93%     0.01%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk
     0.91%     0.49%  Native-Transpor  [kernel.kallsyms]                   [k] __add_to_page_cache_locked
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] __x64_sys_writev
     0.89%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_writev
     0.88%     0.13%  Native-Transpor  [kernel.kallsyms]                   [k] get_page_from_freelist
     0.88%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_select
     0.88%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] vfs_writev
     0.86%     0.04%  kswapd1          [kernel.kallsyms]                   [k] rmap_walk_file
     0.85%     0.45%  swapper          [kernel.kallsyms]                   [k] menu_select
     0.85%     0.01%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_write
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] do_iter_readv_writev
     0.84%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_write_iter
     0.83%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] sock_sendmsg
     0.83%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] inet_sendmsg
     0.82%     0.00%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg
     0.82%     0.01%  swapper          [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.82%     0.15%  NonPeriodicTask  [kernel.kallsyms]                   [k] deactivate_file_page
     0.81%     0.02%  swapper          [kernel.kallsyms]                   [k] hrtimer_interrupt
     0.80%     0.02%  epollEventLoopG  [kernel.kallsyms]                   [k] tcp_sendmsg_locked
     0.78%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] page_cache_async_ra
     0.78%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] ondemand_readahead
     0.75%     0.02%  Native-Transpor  [kernel.kallsyms]                   [k] read_pages
     0.71%     0.01%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_call_function
     0.69%     0.29%  NonPeriodicTask  [kernel.kallsyms]                   [k] pagevec_lru_move_fn
     0.68%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
     0.66%     0.02%  swapper          [kernel.kallsyms]                   [k] __hrtimer_run_queues
     0.65%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
     0.65%     0.00%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk
     0.65%     0.00%  cluster1-nio-wo  [kernel.kallsyms]                   [k] ttwu_do_activate
     0.63%     0.61%  Native-Transpor  [kernel.kallsyms]                   [k] clear_page_erms
     0.61%     0.00%  kswapd1          [kernel.kallsyms]                   [k] arch_tlbbatch_flush
     0.61%     0.00%  kswapd1          [kernel.kallsyms]                   [k] try_to_unmap_flush
     0.61%     0.05%  kswapd1          [kernel.kallsyms]                   [k] native_flush_tlb_multi
     0.60%     0.01%  cluster1-nio-wo  [kernel.kallsyms]                   [k] enqueue_task
     0.59%     0.00%  Native-Transpor  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
     0.59%     0.02%  kswapd1          [kernel.kallsyms]                   [k] page_referenced
     0.59%     0.02%  kswapd0          [kernel.kallsyms]                   [k] rmap_walk_file
