# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 12499422237346
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     2.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_write
     2.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_write
     2.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_write
     2.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_write
     2.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_buffered_write_iter
     2.41%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_write_iter
     2.41%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_perform_write
     2.38%     0.00%  swapper          [kernel.kallsyms]     [k] arch_call_rest_init
     2.38%     0.00%  swapper          [kernel.kallsyms]     [k] rest_init
     2.38%     0.00%  swapper          [kernel.kallsyms]     [k] start_kernel
     2.38%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_kernel
     2.38%     0.00%  swapper          [kernel.kallsyms]     [k] x86_64_start_reservations
     2.34%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.87%     1.86%  java             [kernel.kallsyms]     [k] up_read
     1.85%     1.85%  LocalJobRunner   [kernel.kallsyms]     [k] clear_page_erms
     1.84%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.84%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] pagecache_get_page
     1.80%     1.80%  swapper          [unknown]             [.] 0000000000000000
     1.66%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] filemap_get_pages
     1.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] ondemand_readahead
     1.60%     0.03%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     1.58%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     1.58%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] page_cache_async_ra
     1.58%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     1.56%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_begin
     1.54%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] __x64_sys_read
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] vfs_read
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ksys_read
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] new_sync_read
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_file_read_iter
     1.52%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_file_read_iter
     1.52%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_read
     1.48%     0.02%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     1.45%     0.04%  java             [kernel.kallsyms]     [k] __alloc_pages
     1.41%     0.09%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     1.33%     0.08%  pool-4-thread-1  [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.28%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_begin
     1.25%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.25%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] pagecache_get_page
     1.22%     0.00%  kswapd1          [kernel.kallsyms]     [k] kswapd
     1.22%     0.00%  kswapd1          [kernel.kallsyms]     [k] kthread
     1.22%     0.00%  kswapd1          [kernel.kallsyms]     [k] ret_from_fork
     1.22%     0.00%  kswapd1          [kernel.kallsyms]     [k] balance_pgdat
     1.22%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_node
     1.14%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.14%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] __alloc_pages
     1.13%     0.12%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     1.09%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     1.09%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     1.09%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     1.09%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     1.09%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     1.09%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     1.07%     0.02%  java             [kernel.kallsyms]     [k] find_vma
     1.07%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     1.07%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     1.07%     0.01%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     1.06%     0.01%  java             [kernel.kallsyms]     [k] move_to_new_page
     1.06%     0.13%  localfetcher#1   [kernel.kallsyms]     [k] get_page_from_freelist
     1.06%     0.84%  pool-4-thread-1  [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.06%     1.05%  java             [kernel.kallsyms]     [k] vmacache_find
     1.05%     0.00%  java             [kernel.kallsyms]     [k] migrate_page
     1.04%     1.03%  java             [kernel.kallsyms]     [k] sync_regs
     1.03%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] grab_cache_page_write_begin
     1.03%     0.00%  kswapd1          [kernel.kallsyms]     [k] shrink_lruvec
     1.03%     0.02%  pool-4-thread-1  [kernel.kallsyms]     [k] pagecache_get_page
     1.02%     0.00%  kswapd1          [kernel.kallsyms]     [k] evict_pages
     1.01%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_misplaced_page
     0.98%     0.97%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.96%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] filemap_get_pages
     0.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_async_ra
     0.94%     0.00%  pool-4-thread-1  [kernel.kallsyms]     [k] ondemand_readahead
     0.94%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] page_cache_ra_unbounded
     0.93%     0.00%  java             [kernel.kallsyms]     [k] rmap_walk
     0.90%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     0.90%     0.13%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_pages
     0.85%     0.06%  InMemoryMerger   [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.84%     0.06%  java             [kernel.kallsyms]     [k] rmap_walk_anon
     0.84%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.83%     0.29%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     0.82%     0.32%  LocalJobRunner   [kernel.kallsyms]     [k] charge_memcg
     0.82%     0.06%  localfetcher#1   [kernel.kallsyms]     [k] add_to_page_cache_lru
     0.81%     0.81%  java             [kernel.kallsyms]     [k] clear_page_erms
     0.81%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.81%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_syscall_64
     0.81%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.81%     0.02%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.80%     0.79%  pool-4-thread-1  [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.80%     0.10%  kswapd1          [kernel.kallsyms]     [k] shrink_page_list
     0.79%     0.79%  LocalJobRunner   libc.so.6             [.] 0x00000000001b2eae
     0.79%     0.78%  LocalJobRunner   [kernel.kallsyms]     [k] sync_regs
     0.78%     0.01%  java             [kernel.kallsyms]     [k] do_syscall_64
     0.78%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_da_write_end
     0.78%     0.00%  java             [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.78%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     0.78%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __x64_sys_read
     0.78%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] vfs_read
     0.78%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ksys_read
     0.78%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ext4_file_read_iter
     0.78%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] generic_file_read_iter
     0.78%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] new_sync_read
     0.78%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] filemap_read
     0.77%     0.00%  kswapd0          [kernel.kallsyms]     [k] evict_pages
     0.77%     0.00%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     0.77%     0.52%  LocalJobRunner   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.76%     0.01%  InMemoryMerger   [kernel.kallsyms]     [k] generic_write_end
     0.73%     0.72%  localfetcher#1   [kernel.kallsyms]     [k] clear_page_erms
     0.69%     0.69%  java             [kernel.kallsyms]     [k] copy_page
     0.67%     0.52%  InMemoryMerger   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.67%     0.51%  Sampler Reader   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] kthread
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] ret_from_fork
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] worker_thread
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] process_one_work
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] wb_workfn
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] wb_writeback
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] __writeback_single_inode
     0.62%     0.00%  kworker/u98:3-e  [kernel.kallsyms]     [k] do_writepages
     0.62%     0.04%  kworker/u98:3-e  [kernel.kallsyms]     [k] ext4_writepages
     0.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] kthread
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ret_from_fork
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] worker_thread
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] process_one_work
     0.61%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.61%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] __page_cache_alloc
     0.60%     0.00%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_release_io_end
     0.60%     0.09%  kworker/u96:1-e  [kernel.kallsyms]     [k] ext4_finish_bio
     0.60%     0.44%  localfetcher#1   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     0.59%     0.02%  InMemoryMerger   [kernel.kallsyms]     [k] __mark_inode_dirty
     0.59%     0.07%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     0.58%     0.00%  InMemoryMerger   [kernel.kallsyms]     [k] ext4_dirty_inode
     0.56%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] ext4_da_write_end
     0.56%     0.08%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add
     0.55%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] generic_write_end
     0.55%     0.01%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
     0.55%     0.00%  java             [kernel.kallsyms]     [k] try_to_migrate
     0.54%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] alloc_pages_vma
     0.52%     0.05%  localfetcher#1   [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.52%     0.02%  java             [kernel.kallsyms]     [k] do_sched_yield
     0.52%     0.50%  LocalJobRunner   [kernel.kallsyms]     [k] __ptep_modify_prot_start
     0.52%     0.01%  pool-4-thread-1  [kernel.kallsyms]     [k] alloc_pages
     0.51%     0.03%  pool-4-thread-1  [kernel.kallsyms]     [k] __alloc_pages
     0.49%     0.01%  java             [kernel.kallsyms]     [k] schedule
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kthread
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ret_from_fork
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kcompactd
     0.49%     0.00%  kcompactd0       [kernel.kallsyms]     [k] compact_zone
     0.49%     0.10%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.48%     0.07%  java             [kernel.kallsyms]     [k] __mem_cgroup_charge
     0.48%     0.48%  InMemoryMerger   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.48%     0.00%  kcompactd0       [kernel.kallsyms]     [k] proactive_compact_node
     0.48%     0.11%  pool-4-thread-1  [kernel.kallsyms]     [k] get_page_from_freelist
