# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 23K of event 'cycles'
# Event count (approx.): 831426449327
#
# Children      Self  Command          Shared Object      Symbol                                          
# ........  ........  ...............  .................  ................................................
#
    67.97%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    67.97%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    67.97%     0.01%  swapper          [kernel.kallsyms]  [k] do_idle
    67.77%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    67.77%     0.01%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    67.51%    57.15%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    63.55%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
    17.68%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    17.68%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_syscall_64
    11.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_write
    11.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_write
    11.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_write
    11.25%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_write_iter
    11.25%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_write
    11.24%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_buffered_write_iter
    11.24%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_perform_write
    10.38%    10.38%  swapper          [unknown]          [.] 0000000000000000
     6.10%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_begin
     5.18%     0.30%  pool-4-thread-1  [kernel.kallsyms]  [k] add_to_page_cache_lru
     5.14%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_read
     5.14%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ksys_read
     5.14%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] vfs_read
     5.14%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_file_read_iter
     5.14%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_file_read_iter
     5.14%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] new_sync_read
     5.14%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_read
     4.74%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] grab_cache_page_write_begin
     4.72%     0.08%  pool-4-thread-1  [kernel.kallsyms]  [k] pagecache_get_page
     4.43%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     4.43%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     4.43%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     4.43%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     4.43%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     4.20%     3.33%  pool-4-thread-1  [kernel.kallsyms]  [k] __add_to_page_cache_locked
     3.31%     3.30%  pool-4-thread-1  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     3.15%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] filemap_get_pages
     3.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_async_ra
     3.09%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] ondemand_readahead
     3.08%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] page_cache_ra_unbounded
     3.05%     0.00%  java             [kernel.kallsyms]  [k] do_syscall_64
     3.05%     0.00%  java             [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     3.04%     0.00%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     3.04%     0.00%  java             [kernel.kallsyms]  [k] arch_do_signal_or_restart
     3.04%     0.00%  java             [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     3.04%     0.00%  java             [kernel.kallsyms]  [k] get_signal
     3.04%     0.00%  java             [kernel.kallsyms]  [k] do_exit
     3.04%     0.00%  java             [kernel.kallsyms]  [k] do_group_exit
     3.02%     0.00%  java             [kernel.kallsyms]  [k] exit_mmap
     3.02%     0.00%  java             [kernel.kallsyms]  [k] mmput
     3.02%     0.00%  java             [kernel.kallsyms]  [k] unmap_single_vma
     3.02%     0.00%  java             [kernel.kallsyms]  [k] unmap_vmas
     3.00%     0.48%  java             [kernel.kallsyms]  [k] unmap_page_range
     2.53%     0.04%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_da_write_end
     2.45%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] generic_write_end
     2.17%     0.03%  pool-4-thread-1  [kernel.kallsyms]  [k] alloc_pages
     2.14%     0.12%  pool-4-thread-1  [kernel.kallsyms]  [k] __alloc_pages
     1.99%     0.39%  pool-4-thread-1  [kernel.kallsyms]  [k] get_page_from_freelist
     1.97%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     1.97%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     1.97%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     1.97%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     1.96%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     1.91%     0.00%  java             [kernel.kallsyms]  [k] tlb_flush_mmu
     1.91%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] __mark_inode_dirty
     1.86%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_dirty_inode
     1.84%     0.04%  kcompactd0       [kernel.kallsyms]  [k] migrate_pages
     1.77%     0.00%  java             [kernel.kallsyms]  [k] free_pages_and_swap_cache
     1.73%     0.35%  java             [kernel.kallsyms]  [k] release_pages
     1.53%     0.01%  pool-4-thread-1  [kernel.kallsyms]  [k] asm_exc_page_fault
     1.29%     0.05%  pool-4-thread-1  [kernel.kallsyms]  [k] ext4_block_write_begin
     1.27%     0.02%  pool-4-thread-1  [kernel.kallsyms]  [k] exc_page_fault
     1.23%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] __x64_sys_unlink
     1.23%     0.00%  pool-4-thread-1  [kernel.kallsyms]  [k] do_unlinkat
