# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 10769144996755
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
     1.97%     0.02%  swapper          [kernel.kallsyms]                                 [k] asm_sysvec_apic_timer_interrupt
     1.96%     0.04%  tclsh8.6         [kernel.kallsyms]                                 [k] __sys_recvfrom
     1.95%     0.01%  swapper          [kernel.kallsyms]                                 [k] sysvec_apic_timer_interrupt
     1.92%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] do_sys_poll
     1.88%     0.05%  swapper          [kernel.kallsyms]                                 [k] ttwu_do_activate
     1.86%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] __x64_sys_poll
     1.84%     0.18%  tclsh8.6         [kernel.kallsyms]                                 [k] do_sys_poll
     1.83%     0.51%  swapper          [kernel.kallsyms]                                 [k] enqueue_task_fair
     1.82%     0.23%  mariadbd         [kernel.kallsyms]                                 [k] newidle_balance
     1.81%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] common_interrupt
     1.80%     0.88%  mariadbd         [kernel.kallsyms]                                 [k] update_load_avg
     1.77%     0.11%  swapper          [kernel.kallsyms]                                 [k] flush_smp_call_function_from_idle
     1.71%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] ext4_ext_map_blocks
     1.70%     0.12%  mariadbd         [kernel.kallsyms]                                 [k] do_poll.constprop.0
     1.69%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] ext4_dio_write_checks
     1.69%     0.02%  tclsh8.6         [kernel.kallsyms]                                 [k] unix_stream_recvmsg
     1.67%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __common_interrupt
     1.67%     0.17%  tclsh8.6         [kernel.kallsyms]                                 [k] unix_stream_read_generic
     1.66%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] handle_edge_irq
     1.65%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_recvfrom
     1.63%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] __sys_recvfrom
     1.62%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] handle_irq_event
     1.61%     0.01%  swapper          [kernel.kallsyms]                                 [k] __sysvec_call_function_single
     1.60%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] ttwu_do_activate
     1.59%     0.37%  mariadbd         [kernel.kallsyms]                                 [k] enqueue_task_fair
     1.58%     0.24%  mariadbd         [kernel.kallsyms]                                 [k] select_idle_sibling
     1.55%     0.34%  mariadbd         [kernel.kallsyms]                                 [k] ext4_find_extent
     1.55%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __handle_irq_event_percpu
     1.54%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __wake_up_common_lock
     1.53%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] nvme_irq
     1.53%     0.11%  mariadbd         [kernel.kallsyms]                                 [k] nvme_process_cq
     1.52%     0.14%  tclsh8.6         [kernel.kallsyms]                                 [k] do_poll.constprop.0
     1.50%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] sock_def_readable
     1.48%     0.13%  mariadbd         [kernel.kallsyms]                                 [k] __wake_up_common
     1.45%     0.12%  mariadbd         [kernel.kallsyms]                                 [k] exit_to_user_mode_prepare
     1.43%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] unix_stream_recvmsg
     1.42%     1.39%  mariadbd         [kernel.kallsyms]                                 [k] native_queued_spin_lock_slowpath.part.0
     1.42%     0.13%  mariadbd         [kernel.kallsyms]                                 [k] unix_stream_read_generic
     1.41%     0.52%  mariadbd         [kernel.kallsyms]                                 [k] update_curr
     1.38%     0.00%  swapper          [kernel.kallsyms]                                 [k] start_kernel
     1.36%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] schedule_hrtimeout_range_clock
     1.36%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] perf_event_task_tick
     1.36%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] load_balance
     1.34%     0.08%  mariadbd         [kernel.kallsyms]                                 [k] pollwake
     1.34%     0.15%  mariadbd         [kernel.kallsyms]                                 [k] perf_adjust_freq_unthr_context
     1.31%     0.42%  swapper          [kernel.kallsyms]                                 [k] enqueue_entity
     1.29%     0.01%  swapper          [kernel.kallsyms]                                 [k] __sysvec_apic_timer_interrupt
     1.27%     0.01%  swapper          [kernel.kallsyms]                                 [k] hrtimer_interrupt
     1.26%     0.34%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait_setup
     1.24%     0.26%  mariadbd         [kernel.kallsyms]                                 [k] syscall_exit_work
     1.23%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_pwrite64
     1.23%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] vfs_write
     1.23%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] new_sync_write
     1.22%     0.00%  mariadbd         [kernel.kallsyms]                                 [k] ext4_buffered_write_iter
     1.19%     0.35%  mariadbd         [kernel.kallsyms]                                 [k] ttwu_queue_wakelist
     1.19%     1.04%  mariadbd         [kernel.kallsyms]                                 [k] ext4_es_lookup_extent
     1.18%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] generic_perform_write
     1.14%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] amd_pmu_disable_all
     1.13%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] sock_alloc_send_pskb
     1.13%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] blk_mq_end_request
     1.12%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __getblk_gfp
     1.11%     0.06%  mariadbd         [kernel.kallsyms]                                 [k] alloc_skb_with_frags
     1.09%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] __find_get_block
     1.08%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] __read_extent_tree_block
     1.08%     0.01%  swapper          [kernel.kallsyms]                                 [k] asm_common_interrupt
     1.07%     0.08%  swapper          [kernel.kallsyms]                                 [k] tick_nohz_get_sleep_length
     1.06%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] blk_finish_plug
     1.06%     0.01%  swapper          [kernel.kallsyms]                                 [k] __hrtimer_run_queues
     1.06%     0.05%  mariadbd         [kernel.kallsyms]                                 [k] asm_sysvec_call_function_single
     1.06%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] iomap_dio_submit_bio
     1.06%     0.01%  swapper          [kernel.kallsyms]                                 [k] common_interrupt
     1.06%     0.01%  tclsh8.6         [kernel.kallsyms]                                 [k] __wake_up_common_lock
     1.05%     0.01%  swapper          [kernel.kallsyms]                                 [k] __run_hrtimer
     1.04%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] __alloc_skb
