# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7164435269843
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
     1.92%     0.10%  LocalJobRunner   [kernel.kallsyms]         [k] generic_write_end
     1.79%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ondemand_readahead
     1.79%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] page_cache_ra_unbounded
     1.78%     0.03%  java             [kernel.kallsyms]         [k] schedule
     1.77%     1.76%  java             [kernel.kallsyms]         [k] up_read
     1.77%     0.78%  LocalJobRunner   [kernel.kallsyms]         [k] charge_memcg
     1.75%     1.74%  java             [kernel.kallsyms]         [k] copy_page
     1.74%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_misplaced_page
     1.74%     0.40%  java             [kernel.kallsyms]         [k] __schedule
     1.64%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_flush_irqsafe
     1.58%     0.00%  java             [kernel.kallsyms]         [k] try_to_migrate
     1.58%     1.03%  LocalJobRunner   [kernel.kallsyms]         [k] __add_to_page_cache_locked
     1.57%     1.56%  java             [kernel.kallsyms]         [k] clear_page_erms
     1.57%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.57%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] do_syscall_64
     1.52%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] __x64_sys_read
     1.52%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ksys_read
     1.52%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] vfs_read
     1.52%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] new_sync_read
     1.52%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] ext4_file_read_iter
     1.51%     0.00%  Sampler Reader   [kernel.kallsyms]         [k] generic_file_read_iter
     1.51%     0.03%  Sampler Reader   [kernel.kallsyms]         [k] filemap_read
     1.49%     0.02%  java             [kernel.kallsyms]         [k] irqentry_exit
     1.47%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_pages
     1.47%     0.02%  java             [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     1.43%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kthread
     1.43%     0.00%  kcompactd1       [kernel.kallsyms]         [k] ret_from_fork
     1.43%     0.00%  kcompactd1       [kernel.kallsyms]         [k] kcompactd
     1.43%     0.00%  kcompactd1       [kernel.kallsyms]         [k] compact_zone
     1.42%     0.01%  VM Thread        [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.42%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] __mark_inode_dirty
     1.42%     0.00%  kcompactd1       [kernel.kallsyms]         [k] proactive_compact_node
     1.41%     0.01%  VM Thread        [kernel.kallsyms]         [k] do_syscall_64
     1.40%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] cgroup_rstat_flush_locked
     1.38%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_dirty_inode
     1.37%     0.01%  kcompactd1       [kernel.kallsyms]         [k] migrate_pages
     1.31%     0.99%  Sampler Reader   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     1.27%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] workingset_refault
     1.26%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] mem_cgroup_flush_stats
     1.22%     0.03%  java             [kernel.kallsyms]         [k] __sysvec_apic_timer_interrupt
     1.22%     0.25%  java             [kernel.kallsyms]         [k] try_to_migrate_one
     1.19%     0.03%  java             [kernel.kallsyms]         [k] hrtimer_interrupt
