# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3361217828671
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................
#
     1.43%     1.21%  Executor task l  [kernel.kallsyms]                                 [k] x86_pmu_disable_all
     1.40%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] asm_common_interrupt
     1.40%     0.15%  Executor task l  [kernel.kallsyms]                                 [k] lru_cache_add
     1.38%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] common_interrupt
     1.37%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] ext4_dirty_inode
     1.33%     0.89%  Executor task l  [kernel.kallsyms]                                 [k] rmqueue_bulk
     1.32%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] mem_cgroup_charge
     1.28%     0.79%  Executor task l  [kernel.kallsyms]                                 [k] xas_load
     1.26%     0.11%  Executor task l  [kernel.kallsyms]                                 [k] rcu_sched_clock_irq
     1.24%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] __pagevec_lru_add
     1.23%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __common_interrupt
     1.22%     1.17%  Executor task l  [kernel.kallsyms]                                 [k] ktime_get_update_offsets_now
     1.20%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] handle_edge_irq
     1.19%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] __ext4_mark_inode_dirty
     1.11%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] handle_irq_event
     1.11%     0.61%  Executor task l  [kernel.kallsyms]                                 [k] filemap_get_read_batch
     1.05%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] __handle_irq_event_percpu
     1.04%     0.16%  Executor task l  [kernel.kallsyms]                                 [k] __softirqentry_text_start
     1.02%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] nvme_irq
     1.02%     0.12%  Executor task l  [kernel.kallsyms]                                 [k] nvme_process_cq
     1.00%     0.45%  Executor task l  [kernel.kallsyms]                                 [k] rcu_pending
     0.95%     0.07%  kswapd0          [kernel.kallsyms]                                 [k] __remove_mapping
     0.94%     0.00%  swapper          [kernel.kallsyms]                                 [k] cpu_startup_entry
     0.94%     0.00%  swapper          [kernel.kallsyms]                                 [k] secondary_startup_64_no_verify
     0.94%     0.01%  swapper          [kernel.kallsyms]                                 [k] do_idle
     0.94%     0.32%  Executor task l  [kernel.kallsyms]                                 [k] _raw_spin_lock_irqsave
     0.87%     0.39%  Executor task l  [kernel.kallsyms]                                 [k] kmem_cache_alloc
     0.86%     0.42%  Executor task l  [kernel.kallsyms]                                 [k] xas_store
     0.85%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __x64_sys_openat
     0.85%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] do_sys_openat2
     0.84%     0.00%  Executor task l  [kernel.kallsyms]                                 [k] __alloc_pages_slowpath.constprop.0
     0.84%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_finish_plug
     0.82%     0.74%  Executor task l  [kernel.kallsyms]                                 [k] ktime_get
     0.82%     0.06%  Executor task l  [kernel.kallsyms]                                 [k] __mem_cgroup_charge
     0.82%     0.02%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_flush_plug_list
     0.80%     0.01%  swapper          [kernel.kallsyms]                                 [k] cpuidle_idle_call
     0.80%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_sched_insert_requests
     0.80%     0.72%  Executor task l  [kernel.kallsyms]                                 [k] __update_load_avg_se
     0.79%     0.03%  Executor task l  [kernel.kallsyms]                                 [k] blk_mq_try_issue_list_directly
     0.76%     0.43%  Executor task l  [kernel.kallsyms]                                 [k] __cgroup_account_cputime_field
     0.76%     0.01%  Executor task l  [kernel.kallsyms]                                 [k] do_filp_open
