# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11311597024933
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     1.41%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     1.41%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     1.36%     0.01%  postgres         [kernel.kallsyms]  [k] pte_alloc_one
     1.30%     0.00%  postgres         [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     1.30%     0.00%  postgres         [kernel.kallsyms]  [k] shrink_node
     1.30%     0.00%  postgres         [kernel.kallsyms]  [k] do_try_to_free_pages
     1.30%     0.00%  postgres         [kernel.kallsyms]  [k] try_to_free_pages
     1.25%     0.81%  postgres         [kernel.kallsyms]  [k] __add_to_page_cache_locked
     1.23%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     1.23%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     1.23%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     1.23%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     1.16%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     1.13%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_write
     1.12%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_write
     1.11%     0.01%  postgres         [kernel.kallsyms]  [k] read_pages
     1.09%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     1.09%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     1.09%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     1.09%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     1.09%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     1.08%     0.05%  postgres         [kernel.kallsyms]  [k] shmem_alloc_and_acct_page
     1.07%     0.03%  postgres         [kernel.kallsyms]  [k] dequeue_task
     1.07%     0.20%  postgres         [kernel.kallsyms]  [k] get_futex_key
     1.05%     0.24%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     1.05%     0.00%  postgres         [kernel.kallsyms]  [k] shrink_slab
     1.05%     0.00%  postgres         [kernel.kallsyms]  [k] do_shrink_slab
     1.05%     1.02%  postgres         [kernel.kallsyms]  [k] xas_load
     1.04%     0.00%  postgres         [kernel.kallsyms]  [k] __list_lru_walk_one
     1.03%     0.00%  postgres         [kernel.kallsyms]  [k] asm_common_interrupt
     1.03%     0.00%  postgres         [kernel.kallsyms]  [k] super_cache_scan
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] prune_icache_sb
     1.02%     0.14%  postgres         [kernel.kallsyms]  [k] dequeue_task_fair
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] list_lru_walk_one
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] inode_lru_isolate
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] invalidate_mapping_pages
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] __invalidate_mapping_pages
     1.02%     0.00%  postgres         [kernel.kallsyms]  [k] common_interrupt
     1.02%     0.02%  postgres         [kernel.kallsyms]  [k] shmem_alloc_page
     1.01%     1.01%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     1.01%     0.01%  postgres         [kernel.kallsyms]  [k] alloc_pages_vma
     1.01%     0.07%  postgres         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.00%     0.01%  postgres         [kernel.kallsyms]  [k] __common_interrupt
     0.98%     0.01%  postgres         [kernel.kallsyms]  [k] handle_edge_irq
     0.97%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     0.96%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.95%     0.02%  postgres         [kernel.kallsyms]  [k] __sys_sendto
     0.94%     0.01%  postgres         [kernel.kallsyms]  [k] handle_irq_event
     0.94%     0.16%  postgres         [kernel.kallsyms]  [k] enqueue_task_fair
     0.92%     0.01%  postgres         [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.92%     0.04%  postgres         [kernel.kallsyms]  [k] __wake_up_common
     0.91%     0.01%  postgres         [kernel.kallsyms]  [k] nvme_irq
     0.91%     0.03%  postgres         [kernel.kallsyms]  [k] nvme_process_cq
     0.90%     0.05%  postgres         [kernel.kallsyms]  [k] release_pages
     0.89%     0.49%  postgres         [kernel.kallsyms]  [k] shmem_add_to_page_cache
     0.88%     0.00%  postgres         [kernel.kallsyms]  [k] __pagevec_release
     0.87%     0.00%  postgres         [kernel.kallsyms]  [k] sock_sendmsg
     0.87%     0.01%  postgres         [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.86%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.86%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_lruvec
     0.86%     0.01%  postgres         [kernel.kallsyms]  [k] get_user_pages_fast
     0.85%     0.00%  kswapd1          [kernel.kallsyms]  [k] evict_pages
     0.85%     0.00%  kswapd0          [kernel.kallsyms]  [k] evict_pages
     0.84%     0.08%  postgres         [kernel.kallsyms]  [k] dequeue_entity
     0.83%     0.01%  postgres         [kernel.kallsyms]  [k] nvme_complete_rq
     0.83%     0.37%  postgres         [kernel.kallsyms]  [k] internal_get_user_pages_fast
     0.83%     0.03%  postgres         [kernel.kallsyms]  [k] ext4_readahead
     0.82%     0.01%  postgres         [kernel.kallsyms]  [k] lock_page_lruvec_irqsave
     0.82%     0.05%  postgres         [kernel.kallsyms]  [k] wait_on_page_bit_common
     0.82%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_end_request
     0.81%     0.01%  postgres         [kernel.kallsyms]  [k] __softirqentry_text_start
     0.80%     0.00%  postgres         [kernel.kallsyms]  [k] __page_cache_alloc
     0.78%     0.36%  postgres         [kernel.kallsyms]  [k] update_load_avg
     0.78%     0.06%  postgres         [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.78%     0.76%  postgres         [kernel.kallsyms]  [k] psi_group_change
     0.76%     0.02%  postgres         [kernel.kallsyms]  [k] irq_exit_rcu
     0.76%     0.17%  postgres         [kernel.kallsyms]  [k] futex_wait_setup
     0.75%     0.07%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.74%     0.55%  postgres         [kernel.kallsyms]  [k] update_blocked_averages
     0.74%     0.03%  postgres         [kernel.kallsyms]  [k] blk_update_request
     0.74%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_da_write_end
     0.73%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.73%     0.00%  postgres         [kernel.kallsyms]  [k] io_schedule
     0.73%     0.26%  postgres         [kernel.kallsyms]  [k] enqueue_entity
     0.72%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.71%     0.01%  postgres         [kernel.kallsyms]  [k] bio_endio
     0.70%     0.70%  swapper          [unknown]          [.] 0000000000000000
     0.70%     0.07%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     0.70%     0.07%  postgres         [kernel.kallsyms]  [k] pick_next_task_fair
     0.70%     0.06%  postgres         [kernel.kallsyms]  [k] generic_write_end
     0.70%     0.55%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     0.69%     0.00%  postgres         [kernel.kallsyms]  [k] run_rebalance_domains
     0.69%     0.06%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.68%     0.04%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.67%     0.13%  postgres         [kernel.kallsyms]  [k] unlock_page
     0.67%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.66%     0.40%  postgres         [kernel.kallsyms]  [k] select_task_rq_fair
     0.66%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_sendto
     0.66%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_sync_file
     0.64%     0.03%  postgres         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.64%     0.00%  postgres         [kernel.kallsyms]  [k] file_write_and_wait_range
     0.64%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_sendmsg
     0.64%     0.02%  postgres         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.63%     0.01%  swapper          [kernel.kallsyms]  [k] ttwu_do_activate
     0.62%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.59%     0.05%  swapper          [kernel.kallsyms]  [k] sched_ttwu_pending
     0.59%     0.03%  swapper          [kernel.kallsyms]  [k] enqueue_task
