# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3368333798041
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                                             
# ........  ........  ...............  ..................................  ...................................................................................................................................................................................................................
#
     1.50%     0.10%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     1.49%     0.00%  Executor task l  [kernel.kallsyms]                   [k] try_to_free_pages
     1.49%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node_memcgs
     1.49%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_try_to_free_pages
     1.49%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_node
     1.49%     0.00%  Executor task l  [kernel.kallsyms]                   [k] shrink_zones
     1.49%     0.00%  Executor task l  [kernel.kallsyms]                   [k] lru_gen_shrink_lruvec
     1.49%     0.00%  Executor task l  [kernel.kallsyms]                   [k] evict_pages
     1.48%     0.03%  Executor task l  [kernel.kallsyms]                   [k] generic_write_end
     1.47%     0.01%  Executor task l  [kernel.kallsyms]                   [k] shrink_page_list
     1.46%     0.03%  Executor task l  [kernel.kallsyms]                   [k] ext4_dirty_inode
     1.43%     0.01%  Executor task l  [kernel.kallsyms]                   [k] __remove_mapping
     1.41%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add
     1.41%     1.21%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.36%     0.01%  Executor task l  [kernel.kallsyms]                   [k] asm_common_interrupt
     1.34%     0.02%  Executor task l  [kernel.kallsyms]                   [k] common_interrupt
     1.26%     0.87%  Executor task l  [kernel.kallsyms]                   [k] rmqueue_bulk
     1.26%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __ext4_mark_inode_dirty
     1.25%     1.20%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.24%     0.76%  Executor task l  [kernel.kallsyms]                   [k] xas_load
     1.21%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __common_interrupt
     1.20%     0.03%  Executor task l  [kernel.kallsyms]                   [k] mem_cgroup_charge
     1.18%     0.03%  Executor task l  [kernel.kallsyms]                   [k] handle_edge_irq
     1.16%     0.19%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.08%     0.01%  Executor task l  [kernel.kallsyms]                   [k] handle_irq_event
     1.06%     0.60%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     1.02%     0.13%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     0.99%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __handle_irq_event_percpu
     0.96%     0.00%  Executor task l  [kernel.kallsyms]                   [k] nvme_irq
     0.96%     0.11%  Executor task l  [kernel.kallsyms]                   [k] nvme_process_cq
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     0.93%     0.00%  swapper          [kernel.kallsyms]                   [k] do_idle
     0.91%     0.43%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     0.91%     0.40%  Executor task l  [kernel.kallsyms]                   [k] kmem_cache_alloc
     0.89%     0.81%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.87%     0.19%  Executor task l  [kernel.kallsyms]                   [k] __pagevec_lru_add_fn
     0.83%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_finish_plug
     0.83%     0.39%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.82%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     0.82%     0.00%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     0.81%     0.02%  Executor task l  [kernel.kallsyms]                   [k] ext4_mark_iloc_dirty
     0.81%     0.02%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_flush_plug_list
     0.79%     0.01%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     0.78%     0.01%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_sched_insert_requests
     0.77%     0.03%  Executor task l  [kernel.kallsyms]                   [k] blk_mq_try_issue_list_directly
     0.75%     0.65%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.75%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] kthread
     0.75%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] ret_from_fork
     0.75%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] worker_thread
     0.75%     0.00%  kworker/u64:39-  [kernel.kallsyms]                   [k] process_one_work
     0.74%     0.27%  Executor task l  [kernel.kallsyms]                   [k] ext4_do_update_inode.isra.0
     0.74%     0.73%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_cfs_rq
     0.73%     0.02%  Executor task l  [kernel.kallsyms]                   [k] __blk_mq_try_issue_directly
     0.72%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
