# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 2109868853085
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                               
# ........  ........  ...............  ...................................  .....................................................................................................................................................................................................
#
     0.68%     0.00%  GC Thread#15     [kernel.kallsyms]                    [k] tick_sched_handle
     0.67%     0.02%  GC Thread#13     [kernel.kallsyms]                    [k] update_process_times
     0.67%     0.00%  GC Thread#9      [kernel.kallsyms]                    [k] tick_sched_handle
     0.67%     0.00%  GC Thread#22     [kernel.kallsyms]                    [k] tick_sched_handle
     0.67%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] __run_hrtimer
     0.67%     0.67%  Executor task l  [kernel.kallsyms]                    [k] check_cpu_stall
     0.67%     0.02%  GC Thread#15     [kernel.kallsyms]                    [k] update_process_times
     0.67%     0.00%  GC Thread#20     [kernel.kallsyms]                    [k] tick_sched_handle
     0.67%     0.03%  GC Thread#8      [kernel.kallsyms]                    [k] update_process_times
     0.67%     0.02%  GC Thread#5      [kernel.kallsyms]                    [k] __hrtimer_run_queues
     0.67%     0.00%  GC Thread#21     [kernel.kallsyms]                    [k] tick_sched_handle
     0.66%     0.03%  GC Thread#9      [kernel.kallsyms]                    [k] update_process_times
     0.66%     0.02%  GC Thread#22     [kernel.kallsyms]                    [k] update_process_times
     0.66%     0.02%  GC Thread#20     [kernel.kallsyms]                    [k] update_process_times
     0.66%     0.02%  GC Thread#21     [kernel.kallsyms]                    [k] update_process_times
     0.65%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] tick_sched_timer
     0.65%     0.00%  GC Thread#11     [kernel.kallsyms]                    [k] tick_sched_handle
     0.65%     0.00%  GC Thread#7      [kernel.kallsyms]                    [k] tick_sched_handle
     0.65%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] __run_hrtimer
     0.65%     0.02%  GC Thread#7      [kernel.kallsyms]                    [k] update_process_times
     0.65%     0.03%  GC Thread#11     [kernel.kallsyms]                    [k] update_process_times
     0.65%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] tick_sched_timer
     0.64%     0.00%  GC Thread#16     [kernel.kallsyms]                    [k] tick_sched_handle
     0.64%     0.64%  Executor task l  [kernel.kallsyms]                    [k] arch_scale_freq_tick
     0.64%     0.02%  GC Thread#16     [kernel.kallsyms]                    [k] update_process_times
     0.63%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] tick_sched_timer
     0.63%     0.63%  Executor task l  [kernel.kallsyms]                    [k] __const_udelay
     0.62%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] tick_sched_handle
     0.61%     0.00%  GC Thread#17     [kernel.kallsyms]                    [k] tick_sched_handle
     0.61%     0.02%  GC Thread#2      [kernel.kallsyms]                    [k] update_process_times
     0.61%     0.02%  GC Thread#17     [kernel.kallsyms]                    [k] update_process_times
     0.61%     0.03%  Executor task l  [kernel.kallsyms]                    [k] clockevents_program_event
     0.60%     0.44%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     0.59%     0.02%  Executor task l  [kernel.kallsyms]                    [k] handle_mm_fault
     0.59%     0.00%  GC Thread#5      [kernel.kallsyms]                    [k] tick_sched_handle
     0.59%     0.02%  GC Thread#5      [kernel.kallsyms]                    [k] update_process_times
