# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3879925248322
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
     2.07%     0.00%  GC Thread#4      [kernel.kallsyms]                    [k] shrink_inactive_list
     2.07%     0.11%  kswapd0          [kernel.kallsyms]                    [k] shrink_page_list
     1.99%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] asm_exc_page_fault
     1.99%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] exc_page_fault
     1.99%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] do_user_addr_fault
     1.98%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] handle_mm_fault
     1.98%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __handle_mm_fault
     1.97%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] do_anonymous_page
     1.93%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __alloc_pages
     1.93%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] alloc_pages_vma
     1.88%     0.02%  GC Thread#4      [kernel.kallsyms]                    [k] shrink_page_list
     1.87%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     1.82%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] try_to_free_pages
     1.82%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] do_try_to_free_pages
     1.82%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] shrink_node
     1.82%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] shrink_node_memcgs
     1.82%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] shrink_zones
     1.81%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] shrink_lruvec
     1.81%     0.00%  GC Thread#2      [kernel.kallsyms]                    [k] shrink_inactive_list
     1.79%     0.28%  Executor task l  [kernel.kallsyms]                    [k] rmqueue
     1.69%     0.19%  Executor task l  [kernel.kallsyms]                    [k] ext4_mpage_readpages
     1.68%     0.01%  Executor task l  [kernel.kallsyms]                    [k] amd_pmu_disable_all
     1.63%     0.02%  GC Thread#2      [kernel.kallsyms]                    [k] shrink_page_list
     1.59%     0.08%  Executor task l  [kernel.kallsyms]                    [k] ext4_da_write_end
     1.51%     0.24%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irq
     1.45%     0.00%  Executor task l  [kernel.kallsyms]                    [k] grab_cache_page_write_begin
     1.44%     0.87%  Executor task l  [kernel.kallsyms]                    [k] update_curr
     1.44%     0.02%  Executor task l  [kernel.kallsyms]                    [k] pagecache_get_page
     1.42%     0.82%  Executor task l  [kernel.kallsyms]                    [k] account_user_time
     1.42%     0.05%  Executor task l  [kernel.kallsyms]                    [k] __block_write_begin_int
     1.41%     0.04%  Executor task l  [kernel.kallsyms]                    [k] __mark_inode_dirty
     1.40%     0.17%  Executor task l  [kernel.kallsyms]                    [k] __irq_exit_rcu
     1.37%     0.01%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages_slowpath.constprop.0
     1.34%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kcompactd
     1.34%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] kthread
     1.34%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] ret_from_fork
     1.34%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] compact_zone
     1.34%     0.00%  Executor task l  [kernel.kallsyms]                    [k] asm_common_interrupt
     1.32%     0.01%  Executor task l  [kernel.kallsyms]                    [k] common_interrupt
     1.32%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] migrate_pages
     1.31%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] unmap_and_move
     1.30%     0.03%  Executor task l  [kernel.kallsyms]                    [k] generic_write_end
     1.29%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_dirty_inode
     1.27%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] proactive_compact_node
     1.27%     1.10%  Executor task l  [kernel.kallsyms]                    [k] x86_pmu_disable_all
     1.22%     0.00%  kcompactd0       [kernel.kallsyms]                    [k] __unmap_and_move
     1.18%     0.04%  Executor task l  [kernel.kallsyms]                    [k] __common_interrupt
     1.18%     0.78%  Executor task l  [kernel.kallsyms]                    [k] rmqueue_bulk
     1.16%     0.12%  Executor task l  [kernel.kallsyms]                    [k] lru_cache_add
     1.14%     0.03%  Executor task l  [kernel.kallsyms]                    [k] handle_edge_irq
     1.09%     0.02%  Executor task l  [kernel.kallsyms]                    [k] __ext4_mark_inode_dirty
     1.07%     0.11%  Executor task l  [kernel.kallsyms]                    [k] rcu_sched_clock_irq
     1.07%     0.03%  Executor task l  [kernel.kallsyms]                    [k] mem_cgroup_charge
     1.06%     0.64%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_read_batch
     1.06%     0.65%  Executor task l  [kernel.kallsyms]                    [k] xas_load
     1.04%     1.01%  Executor task l  [kernel.kallsyms]                    [k] ktime_get_update_offsets_now
     1.04%     0.02%  Executor task l  [kernel.kallsyms]                    [k] handle_irq_event
     1.04%     0.00%  swapper          [kernel.kallsyms]                    [k] cpu_startup_entry
     1.04%     0.00%  swapper          [kernel.kallsyms]                    [k] secondary_startup_64_no_verify
     1.04%     0.00%  swapper          [kernel.kallsyms]                    [k] do_idle
     1.03%     0.00%  Executor task l  [kernel.kallsyms]                    [k] try_to_free_pages
     1.03%     0.12%  Executor task l  [kernel.kallsyms]                    [k] __pagevec_lru_add
     1.03%     0.00%  Executor task l  [kernel.kallsyms]                    [k] do_try_to_free_pages
     1.03%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node
     1.03%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_zones
     1.03%     0.00%  Executor task l  [kernel.kallsyms]                    [k] shrink_node_memcgs
     1.00%     0.26%  Executor task l  [kernel.kallsyms]                    [k] _raw_spin_lock_irqsave
