# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 3712687756545
#
# Children      Self  Command          Shared Object                        Symbol                                                                                                                                                                                                         
# ........  ........  ...............  ...................................  ...............................................................................................................................................................................................................
#
    48.59%     0.05%  Executor task l  [kernel.kallsyms]                    [k] entry_SYSCALL_64_after_hwframe
    48.53%     0.06%  Executor task l  [kernel.kallsyms]                    [k] do_syscall_64
    36.69%     0.03%  Executor task l  [kernel.kallsyms]                    [k] ksys_read
    36.41%     0.07%  Executor task l  [kernel.kallsyms]                    [k] vfs_read
    36.06%     0.15%  Executor task l  [kernel.kallsyms]                    [k] new_sync_read
    35.82%     0.52%  Executor task l  [kernel.kallsyms]                    [k] filemap_read
    26.18%    25.27%  Executor task l  [kernel.kallsyms]                    [k] copy_user_generic_string
    25.26%     0.17%  Executor task l  [kernel.kallsyms]                    [k] asm_sysvec_apic_timer_interrupt
    24.28%     0.06%  Executor task l  [kernel.kallsyms]                    [k] sysvec_apic_timer_interrupt
    23.81%     0.06%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter
    23.74%     0.12%  Executor task l  [kernel.kallsyms]                    [k] copy_page_to_iter_iovec
    22.09%     0.31%  Executor task l  [kernel.kallsyms]                    [k] __sysvec_apic_timer_interrupt
    21.69%     0.61%  Executor task l  [kernel.kallsyms]                    [k] hrtimer_interrupt
    19.16%     0.44%  Executor task l  [kernel.kallsyms]                    [k] __hrtimer_run_queues
    18.72%     0.04%  Executor task l  [kernel.kallsyms]                    [k] __run_hrtimer
    17.83%     0.18%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_timer
    16.69%     0.04%  Executor task l  [kernel.kallsyms]                    [k] tick_sched_handle
    16.53%     0.62%  Executor task l  [kernel.kallsyms]                    [k] update_process_times
    12.38%     0.54%  Executor task l  [kernel.kallsyms]                    [k] scheduler_tick
    11.11%     0.11%  Executor task l  [kernel.kallsyms]                    [k] filemap_get_pages
     9.62%     0.09%  Executor task l  [kernel.kallsyms]                    [k] page_cache_ra_unbounded
     9.39%     0.01%  Executor task l  [kernel.kallsyms]                    [k] ksys_write
     9.32%     0.08%  Executor task l  [kernel.kallsyms]                    [k] vfs_write
     9.22%     0.03%  Executor task l  [kernel.kallsyms]                    [k] new_sync_write
     9.17%     0.02%  Executor task l  [kernel.kallsyms]                    [k] ext4_buffered_write_iter
     8.50%     0.08%  Executor task l  [kernel.kallsyms]                    [k] generic_perform_write
     5.78%     0.68%  Executor task l  [kernel.kallsyms]                    [k] task_tick_fair
     5.70%     0.39%  Executor task l  [kernel.kallsyms]                    [k] __alloc_pages
