# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 185956807552
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................................................................
#
     1.92%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] sock_sendmsg
     1.92%     0.09%  mariadbd         [kernel.kallsyms]    [k] load_balance
     1.92%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] unix_stream_sendmsg
     1.89%     0.80%  mariadbd         [kernel.kallsyms]    [k] update_load_avg
     1.86%     0.02%  mariadbd         [kernel.kallsyms]    [k] scheduler_tick
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] balance_pgdat
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] evict_pages
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] kswapd
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] kthread
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] lru_gen_shrink_lruvec
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] ret_from_fork
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node
     1.84%     0.00%  kswapd0          [kernel.kallsyms]    [k] shrink_node_memcgs
     1.82%     0.00%  mariadbd         [kernel.kallsyms]    [k] common_interrupt
     1.79%     0.54%  mariadbd         [kernel.kallsyms]    [k] _raw_spin_lock
     1.77%     0.02%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_poll
     1.70%     0.10%  tclsh8.6         [kernel.kallsyms]    [k] _raw_spin_lock
     1.70%     0.07%  mariadbd         [kernel.kallsyms]    [k] do_sys_poll
     1.68%     0.01%  mariadbd         [kernel.kallsyms]    [k] __common_interrupt
     1.67%     0.00%  mariadbd         [kernel.kallsyms]    [k] handle_edge_irq
     1.66%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_irq_event
     1.65%     0.04%  mariadbd         [kernel.kallsyms]    [k] flush_tlb_mm_range
     1.65%     0.01%  swapper          [kernel.kallsyms]    [k] asm_sysvec_apic_timer_interrupt
     1.64%     0.02%  kswapd0          [kernel.kallsyms]    [k] shrink_page_list
     1.64%     0.04%  swapper          [kernel.kallsyms]    [k] ttwu_do_activate
     1.63%     0.00%  swapper          [kernel.kallsyms]    [k] sysvec_apic_timer_interrupt
     1.63%     0.00%  mariadbd         [kernel.kallsyms]    [k] ptep_clear_flush
     1.60%     0.12%  mariadbd         [kernel.kallsyms]    [k] exit_to_user_mode_prepare
     1.60%     0.05%  mariadbd         [kernel.kallsyms]    [k] __handle_irq_event_percpu
     1.60%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_poll
     1.60%     1.51%  tclsh8.6         [kernel.kallsyms]    [k] native_queued_spin_lock_slowpath.part.0
     1.59%     0.53%  swapper          [kernel.kallsyms]    [k] enqueue_task_fair
     1.59%     0.17%  tclsh8.6         [kernel.kallsyms]    [k] do_sys_poll
     1.55%     0.01%  mariadbd         [kernel.kallsyms]    [k] nvme_irq
     1.54%     0.05%  mariadbd         [kernel.kallsyms]    [k] do_poll.constprop.0
     1.54%     0.16%  mariadbd         [kernel.kallsyms]    [k] nvme_process_cq
     1.47%     0.02%  swapper          [kernel.kallsyms]    [k] asm_common_interrupt
     1.45%     0.01%  mariadbd         [kernel.kallsyms]    [k] ext4_map_blocks
     1.45%     0.00%  swapper          [kernel.kallsyms]    [k] common_interrupt
     1.42%     0.47%  mariadbd         [kernel.kallsyms]    [k] smp_call_function_many_cond
     1.42%     0.00%  mariadbd         [kernel.kallsyms]    [k] on_each_cpu_cond_mask
     1.42%     0.21%  mariadbd         [kernel.kallsyms]    [k] select_idle_sibling
     1.42%     0.34%  mariadbd         [kernel.kallsyms]    [k] enqueue_task_fair
     1.41%     0.03%  mariadbd         [kernel.kallsyms]    [k] __bio_iov_iter_get_pages
     1.41%     0.00%  mariadbd         [kernel.kallsyms]    [k] bio_iov_iter_get_pages
     1.40%     0.09%  mariadbd         [kernel.kallsyms]    [k] ttwu_do_activate
     1.39%     0.01%  tclsh8.6         [kernel.kallsyms]    [k] __x64_sys_recvfrom
     1.38%     0.03%  tclsh8.6         [kernel.kallsyms]    [k] __sys_recvfrom
     1.38%     0.58%  mariadbd         [kernel.kallsyms]    [k] update_curr
     1.37%     0.00%  swapper          [kernel.kallsyms]    [k] start_kernel
     1.34%     0.00%  swapper          [kernel.kallsyms]    [k] __sysvec_call_function_single
     1.34%     0.01%  swapper          [kernel.kallsyms]    [k] __common_interrupt
