# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8502629487350
#
# Children      Self  Command          Shared Object             Symbol                                             
# ........  ........  ...............  ........................  ...................................................
#
    35.61%     0.32%  java             [kernel.kallsyms]         [k] asm_exc_page_fault
    33.65%     0.44%  java             [kernel.kallsyms]         [k] exc_page_fault
    30.48%     0.39%  java             [kernel.kallsyms]         [k] do_user_addr_fault
    24.25%     1.27%  java             [kernel.kallsyms]         [k] handle_mm_fault
    20.82%     4.92%  java             [kernel.kallsyms]         [k] __handle_mm_fault
    18.81%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
    18.79%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] do_syscall_64
    12.43%     0.12%  LocalJobRunner   [kernel.kallsyms]         [k] asm_exc_page_fault
    12.13%     0.31%  java             [kernel.kallsyms]         [k] migrate_misplaced_page
    11.21%     0.08%  LocalJobRunner   [kernel.kallsyms]         [k] exc_page_fault
    10.58%     0.18%  LocalJobRunner   [kernel.kallsyms]         [k] do_user_addr_fault
    10.16%     0.75%  java             [kernel.kallsyms]         [k] migrate_pages
     9.79%     0.27%  LocalJobRunner   [kernel.kallsyms]         [k] handle_mm_fault
     8.99%     1.16%  LocalJobRunner   [kernel.kallsyms]         [k] __handle_mm_fault
     8.91%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_write
     8.91%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_write
     8.91%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_write
     8.90%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_write
     8.90%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_write_iter
     8.90%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_buffered_write_iter
     8.88%     0.02%  LocalJobRunner   [kernel.kallsyms]         [k] generic_perform_write
     8.33%     7.90%  LocalJobRunner   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] __x64_sys_read
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ksys_read
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] vfs_read
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] new_sync_read
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_file_read_iter
     8.09%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] generic_file_read_iter
     8.08%     0.16%  LocalJobRunner   [kernel.kallsyms]         [k] filemap_read
     5.81%     0.00%  swapper          [kernel.kallsyms]         [k] secondary_startup_64_no_verify
     5.81%     0.00%  swapper          [kernel.kallsyms]         [k] cpu_startup_entry
     5.79%     0.01%  swapper          [kernel.kallsyms]         [k] do_idle
     5.67%     0.00%  swapper          [kernel.kallsyms]         [k] start_secondary
     5.45%     0.00%  swapper          [kernel.kallsyms]         [k] cpuidle_enter
     5.45%     0.01%  swapper          [kernel.kallsyms]         [k] cpuidle_enter_state
     5.33%     5.32%  swapper          [kernel.kallsyms]         [k] mwait_idle_with_hints.constprop.0
     4.57%     0.15%  LocalJobRunner   [kernel.kallsyms]         [k] __alloc_pages
     4.46%     4.42%  java             [kernel.kallsyms]         [k] down_read_trylock
     4.40%     0.36%  LocalJobRunner   [kernel.kallsyms]         [k] get_page_from_freelist
     4.29%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     4.25%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     4.07%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_begin
     3.85%     0.09%  LocalJobRunner   [kernel.kallsyms]         [k] exit_to_user_mode_prepare
     3.70%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit
     3.69%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] irqentry_exit_to_user_mode
     3.45%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_work_run
     3.45%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] task_numa_work
     3.44%     0.00%  LocalJobRunner   [kernel.kallsyms]         [k] change_prot_numa
     3.40%     3.38%  LocalJobRunner   [kernel.kallsyms]         [k] clear_page_erms
     3.34%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     3.34%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] do_syscall_64
     3.33%     0.01%  java             [kernel.kallsyms]         [k] move_to_new_page
     3.31%     0.01%  java             [kernel.kallsyms]         [k] migrate_page
     3.28%     0.01%  LocalJobRunner   [kernel.kallsyms]         [k] grab_cache_page_write_begin
     3.24%     0.04%  LocalJobRunner   [kernel.kallsyms]         [k] pagecache_get_page
     3.14%     2.98%  LocalJobRunner   [kernel.kallsyms]         [k] change_protection
     3.12%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] __x64_sys_read
     3.12%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ksys_read
     3.12%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] vfs_read
     3.12%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] new_sync_read
     3.12%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] ext4_file_read_iter
     3.12%     0.00%  localfetcher#1   [kernel.kallsyms]         [k] generic_file_read_iter
     3.11%     0.02%  localfetcher#1   [kernel.kallsyms]         [k] filemap_read
     3.00%     0.01%  java             [kernel.kallsyms]         [k] rmap_walk
     2.72%     0.26%  java             [kernel.kallsyms]         [k] rmap_walk_anon
     2.50%     0.05%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages_vma
     2.43%     0.01%  java             [kernel.kallsyms]         [k] asm_sysvec_apic_timer_interrupt
     2.38%     0.01%  java             [kernel.kallsyms]         [k] sysvec_apic_timer_interrupt
     2.37%     2.35%  java             [kernel.kallsyms]         [k] up_read
     2.26%     2.25%  java             [kernel.kallsyms]         [k] sync_regs
     2.02%     0.79%  localfetcher#1   [kernel.kallsyms]         [k] copy_user_enhanced_fast_string
     1.96%     0.06%  LocalJobRunner   [kernel.kallsyms]         [k] migrate_misplaced_page
     1.92%     1.90%  java             [kernel.kallsyms]         [k] copy_page
     1.92%     0.01%  java             [kernel.kallsyms]         [k] try_to_migrate
     1.92%     0.03%  java             [kernel.kallsyms]         [k] entry_SYSCALL_64_after_hwframe
     1.90%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] alloc_pages
     1.89%     0.07%  java             [kernel.kallsyms]         [k] __alloc_pages
     1.87%     0.05%  java             [kernel.kallsyms]         [k] do_syscall_64
     1.87%     0.01%  localfetcher#1   [kernel.kallsyms]         [k] asm_exc_page_fault
     1.87%     0.03%  LocalJobRunner   [kernel.kallsyms]         [k] ext4_da_write_end
