# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 615K of event 'cycles'
# Event count (approx.): 8738153727476
#
# Children      Self  Command          Shared Object       Symbol                                             
# ........  ........  ...............  ..................  ...................................................
#
     3.27%     0.00%  LocalJobRunner   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     3.26%     0.01%  LocalJobRunner   [kernel.kallsyms]   [k] generic_perform_write
     3.24%     0.55%  localfetcher#1   [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     3.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] entry_SYSCALL_64_after_hwframe
     3.10%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] do_syscall_64
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] __x64_sys_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ksys_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] vfs_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] new_sync_write
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_file_write_iter
     3.08%     0.00%  InMemoryMerger   [kernel.kallsyms]   [k] ext4_buffered_write_iter
     3.07%     0.01%  InMemoryMerger   [kernel.kallsyms]   [k] generic_perform_write
     2.98%     0.02%  pool-4-thread-1  [kernel.kallsyms]   [k] ext4_da_write_begin
     2.84%     0.62%  pool-4-thread-1  [kernel.kallsyms]   [k] cgroup_rstat_flush_locked
     2.77%     0.00%  kswapd1          [kernel.kallsyms]   [k] kswapd
     2.77%     0.00%  kswapd1          [kernel.kallsyms]   [k] kthread
     2.77%     0.00%  kswapd1          [kernel.kallsyms]   [k] ret_from_fork
     2.77%     0.00%  kswapd1          [kernel.kallsyms]   [k] balance_pgdat
     2.77%     0.00%  kswapd1          [kernel.kallsyms]   [k] shrink_node
     2.60%     2.59%  localfetcher#1   [kernel.kallsyms]   [k] mem_cgroup_css_rstat_flush
     2.48%     0.01%  kswapd1          [kernel.kallsyms]   [k] shrink_lruvec
     2.48%     2.44%  LocalJobRunner   [kernel.kallsyms]   [k] copy_user_enhanced_fast_string
     2.34%     0.00%  pool-4-thread-1  [kernel.kallsyms]   [k] grab_cache_page_write_begin
     2.33%     0.04%  pool-4-thread-1  [kernel.kallsyms]   [k] pagecache_get_page
     2.27%     0.01%  localfetcher#1   [kernel.kallsyms]   [k] exc_page_fault
     2.27%     0.00%  swapper          [kernel.kallsyms]   [k] arch_call_rest_init
     2.27%     0.00%  swapper          [kernel.kallsyms]   [k] rest_init
     2.27%     0.00%  swapper          [kernel.kallsyms]   [k] start_kernel
     2.27%     0.00%  swapper          [kernel.kallsyms]   [k] x86_64_start_kernel
