# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 596434766724
#
# Children      Self  Command          Shared Object            Symbol                                                                                                                                      
# ........  ........  ...............  .......................  ............................................................................................................................................
#
     1.99%     0.01%  swapper          [kernel.kallsyms]        [k] sysvec_call_function_single
     1.98%     0.26%  mariadbd         [kernel.kallsyms]        [k] dequeue_entity
     1.87%     0.01%  mariadbd         [kernel.kallsyms]        [k] common_interrupt
     1.86%     0.02%  mariadbd         [kernel.kallsyms]        [k] scheduler_tick
     1.86%     0.01%  swapper          [kernel.kallsyms]        [k] asm_sysvec_apic_timer_interrupt
     1.84%     0.00%  swapper          [kernel.kallsyms]        [k] sysvec_apic_timer_interrupt
     1.83%     0.12%  swapper          [kernel.kallsyms]        [k] sched_ttwu_pending
     1.80%     0.03%  kswapd0          [kernel.kallsyms]        [k] shrink_page_list
     1.79%     0.71%  mariadbd         [kernel.kallsyms]        [k] _raw_spin_lock
     1.78%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_sendto
     1.77%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __sys_sendto
     1.76%     0.00%  tclsh8.6         [kernel.kallsyms]        [k] sock_sendmsg
     1.75%     0.05%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_sendmsg
     1.71%     0.01%  mariadbd         [kernel.kallsyms]        [k] __common_interrupt
     1.70%     0.00%  mariadbd         [kernel.kallsyms]        [k] bio_iov_iter_get_pages
     1.70%     0.02%  mariadbd         [kernel.kallsyms]        [k] handle_edge_irq
     1.69%     0.01%  mariadbd         [kernel.kallsyms]        [k] __bio_iov_iter_get_pages
     1.69%     0.09%  mariadbd         [kernel.kallsyms]        [k] load_balance
     1.66%     0.01%  mariadbd         [kernel.kallsyms]        [k] handle_irq_event
     1.66%     0.01%  swapper          [kernel.kallsyms]        [k] asm_common_interrupt
     1.65%     0.77%  mariadbd         [kernel.kallsyms]        [k] update_load_avg
     1.63%     0.01%  swapper          [kernel.kallsyms]        [k] common_interrupt
     1.62%     0.01%  mariadbd         [kernel.kallsyms]        [k] ptep_clear_flush
     1.61%     0.03%  mariadbd         [kernel.kallsyms]        [k] flush_tlb_mm_range
     1.58%     0.02%  mariadbd         [kernel.kallsyms]        [k] __handle_irq_event_percpu
     1.56%     0.01%  mariadbd         [kernel.kallsyms]        [k] nvme_irq
     1.56%     0.08%  mariadbd         [kernel.kallsyms]        [k] ttwu_do_activate
     1.55%     0.12%  mariadbd         [kernel.kallsyms]        [k] nvme_process_cq
     1.55%     0.04%  swapper          [kernel.kallsyms]        [k] ttwu_do_activate
     1.54%     0.39%  mariadbd         [kernel.kallsyms]        [k] enqueue_task_fair
     1.52%     0.02%  mariadbd         [kernel.kallsyms]        [k] __x64_sys_poll
     1.51%     0.43%  swapper          [kernel.kallsyms]        [k] enqueue_task_fair
     1.50%     0.01%  mariadbd         [kernel.kallsyms]        [k] iov_iter_get_pages
     1.48%     0.20%  mariadbd         [kernel.kallsyms]        [k] select_idle_sibling
     1.48%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_poll
     1.47%     0.13%  tclsh8.6         [kernel.kallsyms]        [k] do_sys_poll
     1.46%     0.02%  mariadbd         [kernel.kallsyms]        [k] internal_get_user_pages_fast
     1.45%     0.08%  mariadbd         [kernel.kallsyms]        [k] do_sys_poll
     1.41%     0.02%  swapper          [kernel.kallsyms]        [k] __common_interrupt
     1.41%     0.58%  mariadbd         [kernel.kallsyms]        [k] smp_call_function_many_cond
     1.41%     0.00%  mariadbd         [kernel.kallsyms]        [k] on_each_cpu_cond_mask
     1.41%     0.00%  swapper          [kernel.kallsyms]        [k] start_kernel
     1.39%     0.02%  swapper          [kernel.kallsyms]        [k] handle_edge_irq
     1.38%     0.03%  mariadbd         [kernel.kallsyms]        [k] ext4_map_blocks
     1.35%     0.10%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common
     1.32%     0.02%  swapper          [kernel.kallsyms]        [k] handle_irq_event
     1.32%     0.11%  mariadbd         [kernel.kallsyms]        [k] exit_to_user_mode_prepare
     1.29%     0.01%  mariadbd         [kernel.kallsyms]        [k] __wake_up_common_lock
     1.28%     0.02%  mariadbd         [kernel.kallsyms]        [k] __read_swap_cache_async
     1.27%     0.01%  swapper          [kernel.kallsyms]        [k] tick_nohz_idle_stop_tick
     1.26%     0.02%  swapper          [kernel.kallsyms]        [k] __handle_irq_event_percpu
     1.26%     0.08%  mariadbd         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.25%     0.04%  tclsh8.6         [kernel.kallsyms]        [k] __x64_sys_recvfrom
     1.24%     0.12%  tclsh8.6         [kernel.kallsyms]        [k] do_poll.constprop.0
     1.24%     0.01%  swapper          [kernel.kallsyms]        [k] nvme_irq
     1.23%     0.08%  swapper          [kernel.kallsyms]        [k] nvme_process_cq
     1.22%     0.02%  mariadbd         [kernel.kallsyms]        [k] sock_def_readable
     1.22%     0.49%  mariadbd         [kernel.kallsyms]        [k] update_curr
     1.21%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] __sys_recvfrom
     1.18%     0.06%  swapper          [kernel.kallsyms]        [k] __irq_exit_rcu
     1.18%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_call_function_single
     1.17%     0.01%  swapper          [kernel.kallsyms]        [k] __sysvec_apic_timer_interrupt
     1.16%     0.01%  swapper          [kernel.kallsyms]        [k] hrtimer_interrupt
     1.14%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_mq_flush_plug_list
     1.14%     0.03%  mariadbd         [kernel.kallsyms]        [k] perf_event_task_tick
     1.14%     0.02%  mariadbd         [kernel.kallsyms]        [k] __submit_bio_noacct_mq
     1.13%     0.06%  mariadbd         [kernel.kallsyms]        [k] pollwake
     1.13%     0.02%  mariadbd         [kernel.kallsyms]        [k] blk_finish_plug
     1.13%     1.09%  mariadbd         [kernel.kallsyms]        [k] native_queued_spin_lock_slowpath.part.0
     1.13%     0.01%  mariadbd         [kernel.kallsyms]        [k] blk_mq_end_request
     1.12%     0.03%  mariadbd         [kernel.kallsyms]        [k] blk_mq_sched_insert_requests
     1.11%     0.12%  mariadbd         [kernel.kallsyms]        [k] perf_adjust_freq_unthr_context
     1.11%     0.07%  swapper          [kernel.kallsyms]        [k] flush_smp_call_function_from_idle
     1.10%     0.26%  mariadbd         [kernel.kallsyms]        [k] syscall_exit_work
     1.10%     0.06%  mariadbd         [kernel.kallsyms]        [k] blk_mq_submit_bio
     1.10%     0.02%  mariadbd         [kernel.kallsyms]        [k] io_schedule_timeout
     1.08%     0.05%  mariadbd         [kernel.kallsyms]        [k] swap_readpage
     1.08%     0.02%  mariadbd         [kernel.kallsyms]        [k] schedule_timeout
     1.08%     0.01%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_recvmsg
     1.07%     0.30%  swapper          [kernel.kallsyms]        [k] enqueue_entity
     1.06%     0.11%  tclsh8.6         [kernel.kallsyms]        [k] unix_stream_read_generic
     1.06%     0.01%  mariadbd         [kernel.kallsyms]        [k] schedule_hrtimeout_range_clock
     1.05%     0.06%  mariadbd         [kernel.kallsyms]        [k] blk_mq_try_issue_list_directly
     1.05%     0.03%  mariadbd         [kernel.kallsyms]        [k] find_busiest_group
     1.04%     0.02%  swapper          [kernel.kallsyms]        [k] __softirqentry_text_start
     1.03%     0.05%  mariadbd         [kernel.kallsyms]        [k] blk_update_request
     1.02%     0.00%  mariadbd         [kernel.kallsyms]        [k] get_user_pages_unlocked
     1.01%     0.06%  mariadbd         [kernel.kallsyms]        [k] __blk_mq_try_issue_directly
     1.01%     0.08%  mariadbd         [kernel.kallsyms]        [k] update_sd_lb_stats.constprop.0
     1.01%     0.02%  mariadbd         [kernel.kallsyms]        [k] __get_user_pages
