# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977K of event 'cycles'
# Event count (approx.): 2319954159507
#
# Children      Self  Command          Shared Object                       Symbol                                                                                                                                                                                               
# ........  ........  ...............  ..................................  .....................................................................................................................................................................................................
#
    31.87%     0.10%  Executor task l  [kernel.kallsyms]                   [k] asm_sysvec_apic_timer_interrupt
    30.96%     0.05%  Executor task l  [kernel.kallsyms]                   [k] sysvec_apic_timer_interrupt
    27.34%     0.35%  Executor task l  [kernel.kallsyms]                   [k] __sysvec_apic_timer_interrupt
    26.73%     0.56%  Executor task l  [kernel.kallsyms]                   [k] hrtimer_interrupt
    23.61%     0.48%  Executor task l  [kernel.kallsyms]                   [k] __hrtimer_run_queues
    23.14%     0.03%  Executor task l  [kernel.kallsyms]                   [k] __run_hrtimer
    22.19%     0.07%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_timer
    21.00%     0.09%  Executor task l  [kernel.kallsyms]                   [k] tick_sched_handle
    20.86%     0.89%  Executor task l  [kernel.kallsyms]                   [k] update_process_times
    15.34%     0.68%  Executor task l  [kernel.kallsyms]                   [k] scheduler_tick
    13.20%     0.03%  Executor task l  [kernel.kallsyms]                   [k] entry_SYSCALL_64_after_hwframe
    13.17%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_syscall_64
     8.30%     0.01%  Executor task l  [kernel.kallsyms]                   [k] ksys_read
     8.18%     0.05%  Executor task l  [kernel.kallsyms]                   [k] vfs_read
     8.04%     0.06%  Executor task l  [kernel.kallsyms]                   [k] new_sync_read
     7.96%     0.11%  Executor task l  [kernel.kallsyms]                   [k] filemap_read
     6.92%     0.88%  Executor task l  [kernel.kallsyms]                   [k] task_tick_fair
     6.92%     0.05%  Executor task l  [kernel.kallsyms]                   [k] asm_exc_page_fault
     6.69%     0.02%  Executor task l  [kernel.kallsyms]                   [k] exc_page_fault
     6.58%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_user_addr_fault
     6.13%     0.53%  Executor task l  [kernel.kallsyms]                   [k] perf_event_task_tick
     5.95%     0.04%  Executor task l  [kernel.kallsyms]                   [k] handle_mm_fault
     5.83%     0.06%  Executor task l  [kernel.kallsyms]                   [k] __handle_mm_fault
     5.74%     0.04%  Executor task l  [kernel.kallsyms]                   [k] do_anonymous_page
     5.60%     2.53%  Executor task l  [kernel.kallsyms]                   [k] perf_adjust_freq_unthr_context
     4.51%     0.07%  Executor task l  [kernel.kallsyms]                   [k] __alloc_pages
     4.42%     0.11%  Executor task l  [kernel.kallsyms]                   [k] get_page_from_freelist
     4.19%     0.10%  Executor task l  [kernel.kallsyms]                   [k] alloc_pages_vma
     4.02%     0.02%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter
     4.00%     0.04%  Executor task l  [kernel.kallsyms]                   [k] copy_page_to_iter_iovec
     3.96%     3.87%  Executor task l  [kernel.kallsyms]                   [k] copy_user_generic_string
     3.42%     0.06%  Executor task l  [kernel.kallsyms]                   [k] kernel_init_free_pages.part.0
     3.35%     3.27%  Executor task l  [kernel.kallsyms]                   [k] clear_page_rep
     3.32%     0.03%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_pages
     2.92%     0.24%  Executor task l  [kernel.kallsyms]                   [k] __irq_exit_rcu
     2.91%     0.00%  Executor task l  [kernel.kallsyms]                   [k] __x64_sys_openat
     2.91%     0.01%  Executor task l  [kernel.kallsyms]                   [k] do_sys_openat2
     2.78%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kcompactd
     2.78%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] kthread
     2.78%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ret_from_fork
     2.77%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] compact_zone
     2.77%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] proactive_compact_node
     2.71%     0.02%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_disable_all
     2.70%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_pages
     2.70%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] unmap_and_move
     2.69%     1.30%  Executor task l  [kernel.kallsyms]                   [k] update_load_avg
     2.60%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_filp_open
     2.58%     0.01%  Executor task l  [kernel.kallsyms]                   [k] path_openat
     2.43%     0.47%  Executor task l  [kernel.kallsyms]                   [k] __softirqentry_text_start
     2.25%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] __unmap_and_move
     2.18%     0.02%  Executor task l  [kernel.kallsyms]                   [k] page_cache_ra_unbounded
     2.18%     1.09%  Executor task l  [kernel.kallsyms]                   [k] account_user_time
     1.87%     1.65%  Executor task l  [kernel.kallsyms]                   [k] x86_pmu_disable_all
     1.68%     1.63%  Executor task l  [kernel.kallsyms]                   [k] ktime_get_update_offsets_now
     1.66%     0.95%  Executor task l  [kernel.kallsyms]                   [k] update_curr
     1.62%     0.00%  swapper          [kernel.kallsyms]                   [k] cpu_startup_entry
     1.62%     0.00%  swapper          [kernel.kallsyms]                   [k] secondary_startup_64_no_verify
     1.61%     0.02%  swapper          [kernel.kallsyms]                   [k] do_idle
     1.54%     0.14%  Executor task l  [kernel.kallsyms]                   [k] rcu_sched_clock_irq
     1.49%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kswapd
     1.49%     0.00%  kswapd0          [kernel.kallsyms]                   [k] kthread
     1.49%     0.00%  kswapd0          [kernel.kallsyms]                   [k] ret_from_fork
     1.49%     0.00%  kswapd0          [kernel.kallsyms]                   [k] balance_pgdat
     1.49%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node
     1.49%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_node_memcgs
     1.46%     0.14%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_prepare
     1.44%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_lruvec
     1.40%     0.02%  swapper          [kernel.kallsyms]                   [k] cpuidle_idle_call
     1.27%     0.00%  kswapd0          [kernel.kallsyms]                   [k] shrink_inactive_list
     1.25%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] move_to_new_page
     1.24%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page
     1.19%     0.10%  Executor task l  [kernel.kallsyms]                   [k] rcu_core
     1.16%     0.00%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter
     1.16%     0.04%  swapper          [kernel.kallsyms]                   [k] cpuidle_enter_state
     1.14%     1.14%  kcompactd0       [kernel.kallsyms]                   [k] copy_page
     1.14%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] migrate_page_copy
     1.12%     0.40%  Executor task l  [kernel.kallsyms]                   [k] rcu_pending
     1.09%     0.05%  Executor task l  [kernel.kallsyms]                   [k] exit_to_user_mode_loop
     1.07%     0.01%  Executor task l  [kernel.kallsyms]                   [k] irqentry_exit_to_user_mode
     1.04%     0.51%  Executor task l  [kernel.kallsyms]                   [k] filemap_get_read_batch
     0.95%     0.85%  Executor task l  [kernel.kallsyms]                   [k] ktime_get
     0.94%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] rmap_walk_anon
     0.94%     0.01%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate
     0.93%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] try_to_migrate_one
     0.90%     0.01%  Executor task l  [kernel.kallsyms]                   [k] read_pages
     0.90%     0.02%  kcompactd0       [kernel.kallsyms]                   [k] flush_tlb_mm_range
     0.90%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] ptep_clear_flush
     0.90%     0.08%  Executor task l  [kernel.kallsyms]                   [k] rmqueue
     0.90%     0.06%  kswapd0          [kernel.kallsyms]                   [k] shrink_page_list
     0.89%     0.04%  Executor task l  [kernel.kallsyms]                   [k] schedule
     0.85%     0.43%  kcompactd0       [kernel.kallsyms]                   [k] smp_call_function_many_cond
     0.85%     0.00%  kcompactd0       [kernel.kallsyms]                   [k] on_each_cpu_cond_mask
     0.85%     0.02%  Executor task l  [kernel.kallsyms]                   [k] do_open
     0.85%     0.14%  Executor task l  [kernel.kallsyms]                   [k] __schedule
     0.82%     0.23%  Executor task l  [kernel.kallsyms]                   [k] amd_pmu_wait_on_overflow
     0.82%     0.80%  Executor task l  [kernel.kallsyms]                   [k] __cgroup_account_cputime_field
     0.81%     0.45%  Executor task l  [kernel.kallsyms]                   [k] update_rq_clock_task
     0.78%     0.02%  Executor task l  [kernel.kallsyms]                   [k] lookup_fast
     0.76%     0.01%  Executor task l  [kernel.kallsyms]                   [k] add_to_page_cache_lru
     0.76%     0.69%  Executor task l  [kernel.kallsyms]                   [k] __update_load_avg_se
     0.76%     0.74%  Executor task l  [kernel.kallsyms]                   [k] __d_lookup_rcu
     0.72%     0.72%  Executor task l  [kernel.kallsyms]                   [k] update_cfs_group
