# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7237253268086
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     2.30%     0.31%  LocalJobRunner   [kernel.kallsyms]  [k] __mem_cgroup_charge
     2.25%     0.01%  java             [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     2.22%     0.01%  java             [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     2.15%     0.01%  java             [kernel.kallsyms]  [k] rmap_walk
     2.14%     0.06%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_misplaced_page
     2.13%     0.08%  java             [kernel.kallsyms]  [k] __alloc_pages
     2.13%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_da_write_end
     2.08%     0.09%  LocalJobRunner   [kernel.kallsyms]  [k] generic_write_end
     2.02%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] filemap_get_pages
     1.97%     0.03%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     1.96%     0.17%  java             [kernel.kallsyms]  [k] rmap_walk_anon
     1.94%     0.18%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.90%     1.87%  java             [kernel.kallsyms]  [k] sync_regs
     1.89%     0.08%  java             [kernel.kallsyms]  [k] do_sched_yield
     1.84%     0.20%  LocalJobRunner   [kernel.kallsyms]  [k] migrate_pages
     1.72%     0.08%  kswapd1          [kernel.kallsyms]  [k] shrink_page_list
     1.72%     1.70%  java             [kernel.kallsyms]  [k] up_read
     1.69%     0.09%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     1.66%     0.22%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.66%     1.07%  LocalJobRunner   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     1.65%     0.03%  java             [kernel.kallsyms]  [k] schedule
     1.62%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] ondemand_readahead
     1.61%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_ra_unbounded
     1.59%     0.15%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add
     1.59%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] __mark_inode_dirty
     1.54%     0.35%  java             [kernel.kallsyms]  [k] __schedule
     1.54%     0.69%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.54%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_dirty_inode
     1.52%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.52%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     1.51%     1.50%  java             [kernel.kallsyms]  [k] clear_page_erms
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     1.46%     0.02%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     1.45%     0.26%  LocalJobRunner   [kernel.kallsyms]  [k] __pagevec_lru_add
     1.44%     1.43%  java             [kernel.kallsyms]  [k] copy_page
     1.34%     0.00%  java             [kernel.kallsyms]  [k] try_to_migrate
     1.30%     0.02%  java             [kernel.kallsyms]  [k] irqentry_exit
     1.28%     0.91%  Sampler Reader   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.28%     0.02%  java             [kernel.kallsyms]  [k] alloc_pages_vma
     1.27%     0.02%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     1.24%     0.01%  VM Thread        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.22%     0.01%  VM Thread        [kernel.kallsyms]  [k] do_syscall_64
     1.16%     0.03%  java             [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     1.14%     1.13%  LocalJobRunner   [kernel.kallsyms]  [k] sync_regs
     1.13%     0.03%  java             [kernel.kallsyms]  [k] hrtimer_interrupt
     1.03%     1.03%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
     1.01%     0.21%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     1.00%     1.00%  LocalJobRunner   [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.94%     0.02%  java             [kernel.kallsyms]  [k] asm_sysvec_call_function
     0.93%     0.02%  java             [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] __x64_sys_mmap
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] ksys_mmap_pgoff
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] vm_mmap_pgoff
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_mmap
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] mmap_region
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] __do_munmap
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_region
     0.91%     0.09%  java             [kernel.kallsyms]  [k] isolate_lru_page
     0.91%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] __alloc_pages_slowpath.constprop.0
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_vmas
     0.91%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_single_vma
     0.90%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add_inactive_or_unevictable
     0.90%     0.16%  VM Thread        [kernel.kallsyms]  [k] unmap_page_range
     0.90%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] asm_exc_page_fault
     0.90%     0.00%  LocalJobRunner   [kernel.kallsyms]  [k] page_cache_async_ra
     0.88%     0.03%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_block_write_begin
