# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 11547754522616
#
# Children      Self  Command          Shared Object                                     Symbol                                                                                                                                                                           
# ........  ........  ...............  ................................................  .................................................................................................................................................................................
#
    34.41%     0.06%  swapper          [kernel.kallsyms]                                 [k] cpu_startup_entry
    34.41%     0.00%  swapper          [kernel.kallsyms]                                 [k] secondary_startup_64_no_verify
    34.34%     0.22%  swapper          [kernel.kallsyms]                                 [k] do_idle
    31.75%     0.21%  mariadbd         [kernel.kallsyms]                                 [k] entry_SYSCALL_64_after_hwframe
    31.53%     0.22%  mariadbd         [kernel.kallsyms]                                 [k] do_syscall_64
    28.66%     0.29%  swapper          [kernel.kallsyms]                                 [k] cpuidle_idle_call
    24.64%     0.02%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter
    24.62%     0.37%  swapper          [kernel.kallsyms]                                 [k] cpuidle_enter_state
    14.48%     0.21%  mariadbd         [kernel.kallsyms]                                 [k] __x64_sys_futex
    14.26%     0.19%  mariadbd         [kernel.kallsyms]                                 [k] do_futex
    11.55%    11.18%  swapper          [kernel.kallsyms]                                 [k] poll_idle
     8.49%     0.19%  mariadbd         [kernel.kallsyms]                                 [k] schedule
     8.36%     0.99%  mariadbd         [kernel.kallsyms]                                 [k] __schedule
     7.51%     0.39%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait
     6.98%     0.19%  swapper          [kernel.kallsyms]                                 [k] acpi_idle_enter
     6.89%     0.43%  mariadbd         [kernel.kallsyms]                                 [k] try_to_wake_up
     6.60%     0.03%  mariadbd         [kernel.kallsyms]                                 [k] handle_mm_fault
     6.55%     0.44%  mariadbd         [kernel.kallsyms]                                 [k] futex_wake
     6.53%     0.07%  mariadbd         [kernel.kallsyms]                                 [k] __handle_mm_fault
     6.17%     0.17%  mariadbd         [kernel.kallsyms]                                 [k] futex_wait_queue_me
     5.88%     0.04%  mariadbd         [kernel.kallsyms]                                 [k] asm_exc_page_fault
     5.81%     0.01%  mariadbd         [kernel.kallsyms]                                 [k] exc_page_fault
     5.80%     0.02%  mariadbd         [kernel.kallsyms]                                 [k] do_user_addr_fault
