# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 14K of event 'cycles'
# Event count (approx.): 218632170096
#
# Children      Self  Command          Shared Object        Symbol                                                                                                                                                                        
# ........  ........  ...............  ...................  ..............................................................................................................................................................................
#
    33.92%     0.05%  swapper          [kernel.kallsyms]    [k] cpu_startup_entry
    33.92%     0.00%  swapper          [kernel.kallsyms]    [k] secondary_startup_64_no_verify
    33.86%     0.30%  swapper          [kernel.kallsyms]    [k] do_idle
    30.07%     0.24%  mariadbd         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
    29.83%     0.20%  mariadbd         [kernel.kallsyms]    [k] do_syscall_64
    27.43%     0.25%  swapper          [kernel.kallsyms]    [k] cpuidle_idle_call
    23.39%     0.01%  swapper          [kernel.kallsyms]    [k] cpuidle_enter
    23.37%     0.26%  swapper          [kernel.kallsyms]    [k] cpuidle_enter_state
    12.86%     0.21%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_futex
    12.65%     0.13%  mariadbd         [kernel.kallsyms]    [k] do_futex
    11.01%    10.61%  swapper          [kernel.kallsyms]    [k] poll_idle
     8.25%     0.21%  mariadbd         [kernel.kallsyms]    [k] schedule
     8.12%     0.76%  mariadbd         [kernel.kallsyms]    [k] __schedule
     6.91%     0.31%  mariadbd         [kernel.kallsyms]    [k] futex_wait
     6.88%     0.09%  tclsh8.6         [kernel.kallsyms]    [k] entry_SYSCALL_64_after_hwframe
     6.82%     0.17%  swapper          [kernel.kallsyms]    [k] acpi_idle_enter
     6.79%     0.05%  tclsh8.6         [kernel.kallsyms]    [k] do_syscall_64
     6.53%     0.02%  mariadbd         [kernel.kallsyms]    [k] handle_mm_fault
     6.48%     0.05%  mariadbd         [kernel.kallsyms]    [k] __handle_mm_fault
     6.22%     0.33%  mariadbd         [kernel.kallsyms]    [k] try_to_wake_up
     5.93%     0.05%  mariadbd         [kernel.kallsyms]    [k] asm_exc_page_fault
     5.83%     0.02%  mariadbd         [kernel.kallsyms]    [k] do_user_addr_fault
     5.83%     0.00%  mariadbd         [kernel.kallsyms]    [k] exc_page_fault
     5.64%     0.15%  mariadbd         [kernel.kallsyms]    [k] futex_wait_queue_me
     5.60%     0.39%  mariadbd         [kernel.kallsyms]    [k] futex_wake
     5.41%     0.00%  mariadbd         [kernel.kallsyms]    [k] iomap_dio_rw
     5.40%     0.21%  mariadbd         [kernel.kallsyms]    [k] __iomap_dio_rw
     4.49%     0.02%  mariadbd         [kernel.kallsyms]    [k] wake_up_q
     4.40%     0.00%  mariadbd         [kernel.kallsyms]    [k] __x64_sys_pread64
     4.38%     0.03%  mariadbd         [kernel.kallsyms]    [k] vfs_read
     4.29%     0.04%  mariadbd         [kernel.kallsyms]    [k] ext4_dio_read_iter
     4.25%     0.03%  mariadbd         [kernel.kallsyms]    [k] new_sync_read
