# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 8072375585332
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     1.89%     0.88%  LocalJobRunner   [kernel.kallsyms]  [k] charge_memcg
     1.81%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] __x64_sys_read
     1.81%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ksys_read
     1.81%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] vfs_read
     1.81%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] new_sync_read
     1.81%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] ext4_file_read_iter
     1.81%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] generic_file_read_iter
     1.81%     0.01%  localfetcher#1   [kernel.kallsyms]  [k] filemap_read
     1.79%     1.77%  java             [kernel.kallsyms]  [k] sync_regs
     1.77%     0.07%  java             [kernel.kallsyms]  [k] __alloc_pages
     1.70%     1.69%  java             [kernel.kallsyms]  [k] copy_page
     1.69%     0.16%  java             [kernel.kallsyms]  [k] get_page_from_freelist
     1.68%     0.02%  java             [kernel.kallsyms]  [k] __x64_sys_sched_yield
     1.61%     0.07%  java             [kernel.kallsyms]  [k] do_sched_yield
     1.59%     0.01%  java             [kernel.kallsyms]  [k] try_to_migrate
     1.52%     0.05%  LocalJobRunner   [kernel.kallsyms]  [k] __mark_inode_dirty
     1.47%     0.01%  LocalJobRunner   [kernel.kallsyms]  [k] ext4_dirty_inode
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] do_syscall_64
     1.44%     0.19%  java             [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     1.42%     0.94%  LocalJobRunner   [kernel.kallsyms]  [k] __add_to_page_cache_locked
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] __x64_sys_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ksys_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] vfs_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] ext4_file_read_iter
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] new_sync_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]  [k] generic_file_read_iter
     1.41%     0.02%  Sampler Reader   [kernel.kallsyms]  [k] filemap_read
     1.39%     0.02%  java             [kernel.kallsyms]  [k] schedule
     1.34%     0.01%  VM Thread        [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     1.34%     0.01%  VM Thread        [kernel.kallsyms]  [k] do_syscall_64
     1.31%     0.31%  java             [kernel.kallsyms]  [k] __schedule
     1.29%     1.28%  java             [kernel.kallsyms]  [k] clear_page_erms
     1.24%     0.16%  LocalJobRunner   [kernel.kallsyms]  [k] lru_cache_add
     1.23%     0.91%  Sampler Reader   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.22%     1.21%  LocalJobRunner   [kernel.kallsyms]  [k] sync_regs
     1.21%     0.26%  java             [kernel.kallsyms]  [k] try_to_migrate_one
     1.17%     0.48%  localfetcher#1   [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     1.13%     0.02%  java             [kernel.kallsyms]  [k] irqentry_exit
     1.13%     1.13%  LocalJobRunner   libc.so.6          [.] 0x00000000001b2eae
     1.12%     0.01%  java             [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     1.10%     0.00%  VM Thread        [kernel.kallsyms]  [k] __x64_sys_mmap
     1.10%     0.00%  VM Thread        [kernel.kallsyms]  [k] ksys_mmap_pgoff
     1.10%     0.00%  VM Thread        [kernel.kallsyms]  [k] vm_mmap_pgoff
     1.10%     0.00%  VM Thread        [kernel.kallsyms]  [k] do_mmap
     1.10%     0.00%  VM Thread        [kernel.kallsyms]  [k] mmap_region
     1.10%     0.00%  VM Thread        [kernel.kallsyms]  [k] __do_munmap
     1.10%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_region
     1.10%     0.00%  localfetcher#1   [kernel.kallsyms]  [k] asm_exc_page_fault
     1.09%     0.02%  java             [kernel.kallsyms]  [k] migrate_page_copy
     1.09%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_vmas
     1.09%     0.00%  VM Thread        [kernel.kallsyms]  [k] unmap_single_vma
     1.08%     0.01%  java             [kernel.kallsyms]  [k] __put_page
     1.08%     0.21%  VM Thread        [kernel.kallsyms]  [k] unmap_page_range
     1.06%     0.13%  java             [kernel.kallsyms]  [k] migrate_page_states
     1.05%     0.36%  LocalJobRunner   [kernel.kallsyms]  [k] __pagevec_lru_add
     1.04%     0.03%  java             [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     1.03%     0.00%  java             [kernel.kallsyms]  [k] alloc_misplaced_dst_page
     1.01%     0.03%  java             [kernel.kallsyms]  [k] hrtimer_interrupt
     1.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kthread
     1.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] ret_from_fork
     1.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] kcompactd
     1.00%     0.00%  kcompactd0       [kernel.kallsyms]  [k] compact_zone
     0.99%     0.00%  kcompactd0       [kernel.kallsyms]  [k] proactive_compact_node
     0.97%     0.02%  LocalJobRunner   [kernel.kallsyms]  [k] __x64_sys_futex
