# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 40K of event 'cycles'
# Event count (approx.): 4927039491892
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
     1.48%     0.00%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate
     1.46%     0.00%  postgres         [kernel.kallsyms]  [k] free_pgtables
     1.44%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_read
     1.44%     0.06%  postgres         [kernel.kallsyms]  [k] free_pgd_range
     1.44%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_read
     1.43%     0.01%  postgres         [kernel.kallsyms]  [k] read_pages
     1.40%     1.27%  kcompactd1       [kernel.kallsyms]  [k] page_vma_mapped_walk
     1.39%     1.29%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     1.38%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     1.38%     0.39%  postgres         [kernel.kallsyms]  [k] ___pte_free_tlb
     1.37%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     1.34%     0.13%  kcompactd1       [kernel.kallsyms]  [k] try_to_migrate_one
     1.18%     0.01%  swapper          [kernel.kallsyms]  [k] schedule_idle
     1.13%     0.00%  postgres         [kernel.kallsyms]  [k] __page_cache_alloc
     1.09%     0.07%  postgres         [kernel.kallsyms]  [k] get_futex_key
     1.06%     1.05%  postgres         [kernel.kallsyms]  [k] psi_group_change
     1.05%     0.75%  postgres         [kernel.kallsyms]  [k] _raw_spin_lock
     1.05%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     1.04%     0.01%  postgres         [kernel.kallsyms]  [k] ttwu_do_activate
     1.02%     0.01%  postgres         [kernel.kallsyms]  [k] get_user_pages_fast
     1.00%     0.01%  postgres         [kernel.kallsyms]  [k] enqueue_task
     0.99%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_da_write_begin
     0.99%     0.23%  postgres         [kernel.kallsyms]  [k] internal_get_user_pages_fast
     0.97%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_openat
     0.96%     0.00%  postgres         [kernel.kallsyms]  [k] do_sys_openat2
     0.94%     0.11%  postgres         [kernel.kallsyms]  [k] futex_wait_setup
     0.93%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_recvfrom
     0.93%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_recvfrom
     0.93%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_recvmsg
     0.93%     0.01%  postgres         [kernel.kallsyms]  [k] shrink_lruvec
     0.92%     0.02%  postgres         [kernel.kallsyms]  [k] dequeue_task
     0.92%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_recvmsg
     0.92%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_read_generic
     0.92%     0.07%  postgres         [kernel.kallsyms]  [k] pagecache_get_page
     0.92%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     0.92%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     0.92%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     0.92%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     0.91%     0.10%  postgres         [kernel.kallsyms]  [k] dequeue_task_fair
     0.91%     0.09%  postgres         [kernel.kallsyms]  [k] free_unref_page_list
     0.91%     0.00%  postgres         [kernel.kallsyms]  [k] tlb_remove_page
     0.91%     0.09%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     0.91%     0.03%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.87%     0.00%  postgres         [kernel.kallsyms]  [k] rmap_walk
     0.87%     0.05%  postgres         [kernel.kallsyms]  [k] filemap_map_pages
     0.85%     0.04%  postgres         [kernel.kallsyms]  [k] psi_task_switch
     0.85%     0.13%  swapper          [kernel.kallsyms]  [k] __schedule
     0.84%     0.00%  postgres         [kernel.kallsyms]  [k] __softirqentry_text_start
     0.84%     0.02%  postgres         [kernel.kallsyms]  [k] free_unref_page_commit.constprop.0
     0.82%     0.18%  postgres         [kernel.kallsyms]  [k] free_pcppages_bulk
     0.81%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.81%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.81%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.81%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.81%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.80%     0.01%  postgres         [kernel.kallsyms]  [k] irq_exit_rcu
     0.80%     0.05%  postgres         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.79%     0.04%  postgres         [kernel.kallsyms]  [k] dequeue_entity
     0.79%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_readahead
     0.78%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] try_to_wake_up
     0.77%     0.00%  postgres         [kernel.kallsyms]  [k] grab_cache_page_write_begin
     0.77%     0.53%  postgres         [kernel.kallsyms]  [k] update_load_avg
     0.77%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.77%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.76%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.76%     0.01%  kcompactd1       [kernel.kallsyms]  [k] remove_migration_pte
     0.75%     0.75%  postgres         [kernel.kallsyms]  [k] try_grab_compound_head
     0.74%     0.00%  postgres         [kernel.kallsyms]  [k] evict_pages
     0.72%     0.00%  postgres         [kernel.kallsyms]  [k] run_rebalance_domains
     0.70%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] asm_exc_page_fault
     0.70%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] exc_page_fault
     0.69%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] do_user_addr_fault
     0.68%     0.59%  postgres         [kernel.kallsyms]  [k] update_blocked_averages
     0.68%     0.00%  swapper          [kernel.kallsyms]  [k] irq_exit_rcu
     0.68%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_poll
     0.68%     0.00%  swapper          [kernel.kallsyms]  [k] __softirqentry_text_start
     0.67%     0.04%  tclsh8.6         [kernel.kallsyms]  [k] do_sys_poll
     0.67%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] handle_mm_fault
     0.67%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __handle_mm_fault
     0.67%     0.00%  kswapd1          [kernel.kallsyms]  [k] balance_pgdat
     0.67%     0.00%  kswapd1          [kernel.kallsyms]  [k] kswapd
     0.67%     0.00%  kswapd1          [kernel.kallsyms]  [k] kthread
     0.67%     0.00%  kswapd1          [kernel.kallsyms]  [k] ret_from_fork
     0.66%     0.00%  postgres         [kernel.kallsyms]  [k] blk_flush_plug_list
     0.66%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_flush_plug_list
     0.66%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_sched_insert_requests
     0.65%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_try_issue_list_directly
     0.65%     0.00%  swapper          [kernel.kallsyms]  [k] run_rebalance_domains
     0.65%     0.62%  postgres         [kernel.kallsyms]  [k] mark_page_accessed
     0.65%     0.01%  postgres         [kernel.kallsyms]  [k] __blk_mq_try_issue_directly
     0.65%     0.00%  postgres         [kernel.kallsyms]  [k] blk_finish_plug
     0.65%     0.03%  postgres         [kernel.kallsyms]  [k] add_to_page_cache_lru
     0.64%     0.11%  postgres         [kernel.kallsyms]  [k] enqueue_task_fair
     0.64%     0.02%  postgres         [kernel.kallsyms]  [k] nvme_queue_rq
     0.63%     0.02%  tclsh8.6         [kernel.kallsyms]  [k] schedule
     0.62%     0.00%  postgres         [kernel.kallsyms]  [k] migrate_misplaced_page
     0.61%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_map_blocks
     0.61%     0.03%  tclsh8.6         [kernel.kallsyms]  [k] __schedule
     0.61%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] skb_copy_datagram_iter
     0.61%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_read_actor
     0.61%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __skb_datagram_iter
     0.61%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] simple_copy_to_iter
     0.60%     0.01%  postgres         [kernel.kallsyms]  [k] do_filp_open
     0.60%     0.01%  postgres         [kernel.kallsyms]  [k] shrink_page_list
     0.60%     0.60%  tclsh8.6         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.59%     0.01%  postgres         [kernel.kallsyms]  [k] path_openat
     0.59%     0.57%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     0.59%     0.54%  swapper          [kernel.kallsyms]  [k] update_blocked_averages
     0.59%     0.21%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.58%     0.02%  postgres         [kernel.kallsyms]  [k] migrate_pages
     0.58%     0.58%  postgres         [kernel.kallsyms]  [k] memset_erms
     0.58%     0.58%  tclsh8.6         [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.57%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] task_numa_fault
     0.57%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] task_numa_migrate.isra.0
     0.57%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] wake_up_q
     0.57%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range_clock
     0.57%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] schedule_hrtimeout_range
     0.57%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] migrate_swap
     0.57%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] stop_two_cpus
     0.56%     0.07%  postgres         [kernel.kallsyms]  [k] get_page_from_freelist
     0.56%     0.00%  postgres         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.56%     0.55%  postgres         [kernel.kallsyms]  [k] next_uptodate_page
     0.56%     0.55%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.55%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.55%     0.00%  kswapd1          [kernel.kallsyms]  [k] shrink_node
     0.55%     0.01%  postgres         [kernel.kallsyms]  [k] __sys_sendto
     0.54%     0.53%  postgres         [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath
     0.52%     0.18%  postgres         [kernel.kallsyms]  [k] enqueue_entity
     0.51%     0.10%  postgres         [kernel.kallsyms]  [k] shrink_slab
     0.50%     0.00%  postgres         [kernel.kallsyms]  [k] sock_sendmsg
     0.49%     0.23%  postgres         [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.47%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     0.47%     0.00%  postgres         [kernel.kallsyms]  [k] rmap_walk_file
     0.46%     0.24%  postgres         [kernel.kallsyms]  [k] select_task_rq_fair
     0.46%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] dequeue_task
     0.45%     0.00%  postgres         [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.45%     0.42%  tclsh8.6         [kernel.kallsyms]  [k] dequeue_task_fair
     0.45%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.45%     0.15%  postgres         [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.44%     0.02%  kswapd0          [kernel.kallsyms]  [k] try_to_inc_max_seq
     0.44%     0.34%  swapper          [kernel.kallsyms]  [k] _raw_spin_lock
     0.43%     0.00%  postgres         [kernel.kallsyms]  [k] page_referenced
     0.43%     0.42%  postgres         [kernel.kallsyms]  [k] ext4_es_lookup_extent
     0.43%     0.00%  kswapd0          [kernel.kallsyms]  [k] walk_page_range
     0.41%     0.41%  swapper          [unknown]          [.] 0000000000000000
     0.41%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_select
     0.40%     0.33%  swapper          [kernel.kallsyms]  [k] menu_select
