# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1073921736320
#
# Children      Self  Command          Shared Object      Symbol                                        
# ........  ........  ...............  .................  ..............................................
#
    65.48%     0.00%  postgres         [kernel.kallsyms]  [k] do_syscall_64
    65.48%     0.00%  postgres         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
    57.54%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_exit_group
    57.54%     0.00%  postgres         [kernel.kallsyms]  [k] do_exit
    57.54%     0.00%  postgres         [kernel.kallsyms]  [k] do_group_exit
    57.54%     0.00%  postgres         [kernel.kallsyms]  [k] exit_mmap
    57.54%     0.00%  postgres         [kernel.kallsyms]  [k] mmput
    56.83%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_single_vma
    56.83%     0.00%  postgres         [kernel.kallsyms]  [k] unmap_vmas
    56.68%    49.00%  postgres         [kernel.kallsyms]  [k] unmap_page_range
    28.76%     0.00%  swapper          [kernel.kallsyms]  [k] cpu_startup_entry
    28.76%     0.00%  swapper          [kernel.kallsyms]  [k] do_idle
    28.76%     0.00%  swapper          [kernel.kallsyms]  [k] secondary_startup_64_no_verify
    28.75%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter_state
    28.75%     0.00%  swapper          [kernel.kallsyms]  [k] cpuidle_enter
    28.74%    28.72%  swapper          [kernel.kallsyms]  [k] mwait_idle_with_hints.constprop.0
    28.72%     0.00%  swapper          [kernel.kallsyms]  [k] start_secondary
     4.12%     0.02%  postgres         [kernel.kallsyms]  [k] tlb_flush_mmu
     3.99%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_file_read_iter
     3.99%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_read
     3.99%     0.00%  postgres         [kernel.kallsyms]  [k] generic_file_read_iter
     3.99%     0.00%  postgres         [kernel.kallsyms]  [k] new_sync_read
     3.99%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_read
     3.40%     1.21%  postgres         [kernel.kallsyms]  [k] page_remove_rmap
