# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 38K of event 'cycles'
# Event count (approx.): 4209789632036
#
# Children      Self  Command          Shared Object      Symbol                                             
# ........  ........  ...............  .................  ...................................................
#
     1.41%     0.03%  postgres         [kernel.kallsyms]  [k] handle_mm_fault
     1.40%     0.00%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk
     1.31%     0.04%  kcompactd0       [kernel.kallsyms]  [k] rmap_walk_file
     1.28%     0.06%  postgres         [kernel.kallsyms]  [k] pagecache_get_page
     1.25%     0.18%  postgres         [kernel.kallsyms]  [k] __handle_mm_fault
     1.19%     0.00%  postgres         [kernel.kallsyms]  [k] grab_cache_page_write_begin
     1.15%     0.01%  swapper          [kernel.kallsyms]  [k] schedule_idle
     1.14%     0.00%  postgres         [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     1.13%     0.00%  postgres         [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     1.12%     0.10%  swapper          [kernel.kallsyms]  [k] __schedule
     1.12%     1.04%  swapper          [kernel.kallsyms]  [k] poll_idle
     1.10%     0.86%  postgres         [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.99%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.98%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] do_syscall_64
     0.95%     0.05%  postgres         [kernel.kallsyms]  [k] workingset_activation
     0.90%     0.89%  postgres         [kernel.kallsyms]  [k] workingset_age_nonresident
     0.87%     0.01%  postgres         [kernel.kallsyms]  [k] ttwu_do_activate
     0.85%     0.00%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate
     0.81%     0.00%  postgres         [kernel.kallsyms]  [k] enqueue_task
     0.80%     0.01%  postgres         [kernel.kallsyms]  [k] dequeue_task
     0.80%     0.75%  kcompactd0       [kernel.kallsyms]  [k] page_vma_mapped_walk
     0.79%     0.05%  postgres         [kernel.kallsyms]  [k] dequeue_task_fair
     0.78%     0.02%  postgres         [kernel.kallsyms]  [k] __alloc_pages
     0.77%     0.07%  kcompactd0       [kernel.kallsyms]  [k] try_to_migrate_one
     0.76%     0.01%  postgres         [kernel.kallsyms]  [k] __sys_sendto
     0.76%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.75%     0.02%  postgres         [kernel.kallsyms]  [k] alloc_pages
     0.75%     0.09%  postgres         [kernel.kallsyms]  [k] get_page_from_freelist
     0.74%     0.00%  postgres         [kernel.kallsyms]  [k] read_pages
     0.71%     0.04%  postgres         [kernel.kallsyms]  [k] dequeue_entity
     0.70%     0.00%  postgres         [kernel.kallsyms]  [k] sock_sendmsg
     0.70%     0.44%  postgres         [kernel.kallsyms]  [k] __add_to_page_cache_locked
     0.69%     0.69%  swapper          [kernel.kallsyms]  [k] psi_group_change
     0.69%     0.63%  postgres         [kernel.kallsyms]  [k] free_swap_cache
     0.67%     0.01%  swapper          [kernel.kallsyms]  [k] psi_task_switch
     0.64%     0.00%  kswapd0          [kernel.kallsyms]  [k] balance_pgdat
     0.64%     0.00%  kswapd0          [kernel.kallsyms]  [k] kswapd
     0.64%     0.00%  kswapd0          [kernel.kallsyms]  [k] kthread
     0.64%     0.00%  kswapd0          [kernel.kallsyms]  [k] ret_from_fork
     0.64%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_node
     0.64%     0.02%  postgres         [kernel.kallsyms]  [k] ext4_readahead
     0.64%     0.64%  swapper          [unknown]          [.] 0000000000000000
     0.63%     0.04%  postgres         [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.63%     0.36%  postgres         [kernel.kallsyms]  [k] __activate_page
     0.61%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_mpage_readpages
     0.60%     0.01%  postgres         [kernel.kallsyms]  [k] __x64_sys_openat
     0.59%     0.03%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_from_idle
     0.59%     0.00%  kswapd0          [kernel.kallsyms]  [k] shrink_lruvec
     0.58%     0.00%  postgres         [kernel.kallsyms]  [k] do_sys_openat2
     0.58%     0.00%  swapper          [kernel.kallsyms]  [k] arch_call_rest_init
     0.58%     0.00%  swapper          [kernel.kallsyms]  [k] rest_init
     0.58%     0.00%  swapper          [kernel.kallsyms]  [k] start_kernel
     0.58%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_kernel
     0.58%     0.00%  swapper          [kernel.kallsyms]  [k] x86_64_start_reservations
     0.57%     0.02%  swapper          [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.53%     0.53%  postgres         [unknown]          [.] 0000000000000000
     0.53%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_read
     0.53%     0.00%  postgres         [kernel.kallsyms]  [k] ksys_read
     0.53%     0.02%  swapper          [kernel.kallsyms]  [k] sched_ttwu_pending
     0.52%     0.00%  postgres         [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.52%     0.01%  postgres         [kernel.kallsyms]  [k] hrtimer_interrupt
     0.52%     0.39%  postgres         [kernel.kallsyms]  [k] select_task_rq_fair
     0.51%     0.00%  swapper          [kernel.kallsyms]  [k] ttwu_do_activate
     0.51%     0.48%  postgres         [kernel.kallsyms]  [k] lock_page_memcg
     0.51%     0.10%  postgres         [kernel.kallsyms]  [k] filemap_map_pages
     0.50%     0.49%  postgres         [kernel.kallsyms]  [k] psi_group_change
     0.50%     0.25%  swapper          [kernel.kallsyms]  [k] enqueue_task
     0.48%     0.00%  postgres         [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.48%     0.47%  postgres         [kernel.kallsyms]  [k] __free_one_page
     0.48%     0.06%  postgres         [kernel.kallsyms]  [k] get_futex_key
     0.47%     0.02%  postgres         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.47%     0.17%  postgres         [kernel.kallsyms]  [k] update_load_avg
     0.47%     0.03%  postgres         [kernel.kallsyms]  [k] __wake_up_common
     0.46%     0.02%  kswapd0          [kernel.kallsyms]  [k] shrink_page_list
     0.46%     0.02%  kcompactd0       [kernel.kallsyms]  [k] remove_migration_pte
     0.45%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_timer
     0.44%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_map_blocks
     0.44%     0.00%  postgres         [kernel.kallsyms]  [k] tick_sched_handle
     0.44%     0.02%  postgres         [kernel.kallsyms]  [k] update_process_times
     0.42%     0.01%  postgres         [kernel.kallsyms]  [k] get_user_pages_fast
     0.42%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_sync_file
     0.42%     0.08%  postgres         [kernel.kallsyms]  [k] enqueue_task_fair
     0.42%     0.00%  postgres         [kernel.kallsyms]  [k] file_write_and_wait_range
     0.41%     0.40%  postgres         [kernel.kallsyms]  [k] clear_page_erms
     0.41%     0.04%  postgres         [kernel.kallsyms]  [k] psi_task_change
     0.41%     0.00%  postgres         [kernel.kallsyms]  [k] __softirqentry_text_start
     0.41%     0.00%  postgres         [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.41%     0.15%  postgres         [kernel.kallsyms]  [k] internal_get_user_pages_fast
     0.40%     0.00%  postgres         [kernel.kallsyms]  [k] do_filp_open
     0.39%     0.00%  postgres         [kernel.kallsyms]  [k] do_writepages
     0.39%     0.00%  postgres         [kernel.kallsyms]  [k] filemap_fdatawrite_wbc
     0.39%     0.00%  postgres         [kernel.kallsyms]  [k] ext4_writepages
     0.39%     0.01%  postgres         [kernel.kallsyms]  [k] irq_exit_rcu
     0.39%     0.00%  postgres         [kernel.kallsyms]  [k] path_openat
     0.38%     0.37%  postgres         [kernel.kallsyms]  [k] xas_load
     0.37%     0.01%  postgres         [kernel.kallsyms]  [k] wait_on_page_bit_common
     0.37%     0.05%  postgres         [kernel.kallsyms]  [k] __mod_lruvec_state
     0.37%     0.00%  postgres         [kernel.kallsyms]  [k] scheduler_tick
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_fdatasync
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] asm_common_interrupt
     0.36%     0.01%  postgres         [kernel.kallsyms]  [k] common_interrupt
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] io_schedule
     0.36%     0.00%  postgres         [kernel.kallsyms]  [k] mpage_prepare_extent_to_map
     0.35%     0.01%  postgres         [kernel.kallsyms]  [k] __common_interrupt
     0.35%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_common_lock
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_sendto
     0.35%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __sys_sendto
     0.34%     0.00%  postgres         [kernel.kallsyms]  [k] __wake_up_sync_key
     0.34%     0.01%  postgres         [kernel.kallsyms]  [k] handle_edge_irq
     0.34%     0.34%  postgres         [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.34%     0.00%  postgres         [kernel.kallsyms]  [k] __x64_sys_newfstatat
     0.34%     0.00%  postgres         [kernel.kallsyms]  [k] __do_sys_newfstatat
     0.34%     0.00%  postgres         [kernel.kallsyms]  [k] sock_def_readable
     0.34%     0.14%  postgres         [kernel.kallsyms]  [k] cgroup_rstat_updated
     0.33%     0.01%  postgres         [kernel.kallsyms]  [k] task_work_run
     0.33%     0.00%  swapper          [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.33%     0.00%  postgres         [kernel.kallsyms]  [k] handle_irq_event
     0.33%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] sock_sendmsg
     0.33%     0.22%  postgres         [kernel.kallsyms]  [k] unlock_page_memcg
     0.33%     0.27%  postgres         [kernel.kallsyms]  [k] update_blocked_averages
     0.33%     0.00%  swapper          [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.33%     0.00%  postgres         [kernel.kallsyms]  [k] __handle_irq_event_percpu
     0.32%     0.08%  postgres         [kernel.kallsyms]  [k] futex_wait_setup
     0.32%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_irq
     0.32%     0.01%  postgres         [kernel.kallsyms]  [k] nvme_process_cq
     0.32%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_block_write_begin
     0.32%     0.01%  tclsh8.6         [kernel.kallsyms]  [k] unix_stream_sendmsg
     0.31%     0.11%  postgres         [kernel.kallsyms]  [k] enqueue_entity
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] default_wake_function
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] run_rebalance_domains
     0.31%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_pci_complete_rq
     0.31%     0.11%  postgres         [kernel.kallsyms]  [k] update_curr
     0.30%     0.00%  postgres         [kernel.kallsyms]  [k] pollwake
     0.30%     0.00%  postgres         [kernel.kallsyms]  [k] vfs_statx
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] blk_mq_end_request
     0.29%     0.00%  postgres         [kernel.kallsyms]  [k] nvme_complete_rq
     0.29%     0.26%  postgres         [kernel.kallsyms]  [k] vm_normal_page
     0.29%     0.29%  postgres         [kernel.kallsyms]  [k] available_idle_cpu
     0.28%     0.23%  postgres         [kernel.kallsyms]  [k] __tlb_remove_page_size
     0.27%     0.26%  postgres         [kernel.kallsyms]  [k] next_uptodate_page
     0.27%     0.01%  postgres         [kernel.kallsyms]  [k] ext4_da_write_end
     0.27%     0.09%  postgres         [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.27%     0.00%  postgres         [kernel.kallsyms]  [k] blk_update_request
     0.27%     0.26%  postgres         [kernel.kallsyms]  [k] perf_event_task_tick
     0.26%     0.00%  postgres         [kernel.kallsyms]  [k] bio_endio
     0.26%     0.08%  postgres         [kernel.kallsyms]  [k] generic_write_end
     0.26%     0.25%  postgres         [kernel.kallsyms]  [k] try_grab_compound_head
     0.25%     0.00%  tclsh8.6         [kernel.kallsyms]  [k] __x64_sys_poll
     0.25%     0.02%  postgres         [kernel.kallsyms]  [k] switch_fpu_return
     0.25%     0.04%  tclsh8.6         [kernel.kallsyms]  [k] do_sys_poll
     0.24%     0.04%  postgres         [kernel.kallsyms]  [k] psi_task_switch
     0.24%     0.05%  postgres         [kernel.kallsyms]  [k] mpage_process_page_bufs
     0.24%     0.00%  postgres         [kernel.kallsyms]  [k] irqentry_exit
