# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1M of event 'cycles'
# Event count (approx.): 7834463989521
#
# Children      Self  Command          Shared Object         Symbol                                             
# ........  ........  ...............  ....................  ...................................................
#
     2.75%     0.01%  java             [kernel.kallsyms]     [k] sysvec_apic_timer_interrupt
     2.58%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] workingset_refault
     2.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_flush_stats
     2.55%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     2.49%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages_vma
     2.38%     2.37%  java             [kernel.kallsyms]     [k] sync_regs
     2.26%     0.41%  localfetcher#1   [kernel.kallsyms]     [k] cgroup_rstat_flush_locked
     2.23%     0.03%  java             [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     2.19%     2.17%  java             [kernel.kallsyms]     [k] up_read
     2.18%     0.05%  java             [kernel.kallsyms]     [k] do_syscall_64
     2.16%     0.22%  LocalJobRunner   [kernel.kallsyms]     [k] add_to_page_cache_lru
     2.11%     2.09%  java             [kernel.kallsyms]     [k] copy_page
     2.10%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_da_write_end
     2.06%     0.12%  LocalJobRunner   [kernel.kallsyms]     [k] generic_write_end
     2.01%     0.00%  java             [kernel.kallsyms]     [k] try_to_migrate
     1.90%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_misplaced_page
     1.88%     0.08%  java             [kernel.kallsyms]     [k] __alloc_pages
     1.83%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] alloc_pages
     1.83%     0.22%  java             [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     1.81%     0.23%  LocalJobRunner   [kernel.kallsyms]     [k] __mem_cgroup_charge
     1.80%     0.18%  java             [kernel.kallsyms]     [k] get_page_from_freelist
     1.77%     1.77%  localfetcher#1   [kernel.kallsyms]     [k] mem_cgroup_css_rstat_flush
     1.70%     0.76%  java             [kernel.kallsyms]     [k] __count_memcg_events
     1.57%     0.29%  java             [kernel.kallsyms]     [k] try_to_migrate_one
     1.56%     0.02%  java             [kernel.kallsyms]     [k] __x64_sys_sched_yield
     1.56%     0.15%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_pages
     1.55%     0.03%  java             [kernel.kallsyms]     [k] irqentry_exit
     1.53%     0.05%  java             [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     1.53%     0.02%  java             [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     1.51%     0.05%  LocalJobRunner   [kernel.kallsyms]     [k] __mark_inode_dirty
     1.50%     0.07%  java             [kernel.kallsyms]     [k] do_sched_yield
     1.50%     1.18%  java             [kernel.kallsyms]     [k] cgroup_rstat_updated
     1.48%     0.05%  java             [kernel.kallsyms]     [k] hrtimer_interrupt
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.46%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_syscall_64
     1.46%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_dirty_inode
     1.43%     0.07%  java             [kernel.kallsyms]     [k] isolate_lru_page
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ksys_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] __x64_sys_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] vfs_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] ext4_file_read_iter
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] new_sync_read
     1.41%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] generic_file_read_iter
     1.41%     0.02%  Sampler Reader   [kernel.kallsyms]     [k] filemap_read
     1.41%     0.00%  java             [kernel.kallsyms]     [k] __put_page
     1.39%     0.84%  LocalJobRunner   [kernel.kallsyms]     [k] __add_to_page_cache_locked
     1.37%     1.36%  java             [kernel.kallsyms]     [k] clear_page_erms
     1.36%     0.02%  java             [kernel.kallsyms]     [k] migrate_page_copy
     1.33%     0.16%  java             [kernel.kallsyms]     [k] migrate_page_states
     1.32%     0.02%  java             [kernel.kallsyms]     [k] schedule
     1.30%     0.33%  java             [kernel.kallsyms]     [k] __schedule
     1.29%     0.03%  java             [kernel.kallsyms]     [k] __hrtimer_run_queues
     1.28%     0.01%  java             [kernel.kallsyms]     [k] alloc_misplaced_dst_page
     1.27%     1.26%  java             [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     1.25%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] __x64_sys_futex
     1.23%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] do_futex
     1.22%     0.91%  Sampler Reader   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.20%     0.45%  localfetcher#1   [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     1.19%     0.02%  VM Thread        [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     1.17%     1.17%  java             libc.so.6             [.] 0x00000000001b2383
     1.16%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] asm_exc_page_fault
     1.16%     0.01%  VM Thread        [kernel.kallsyms]     [k] do_syscall_64
     1.14%     0.45%  LocalJobRunner   [kernel.kallsyms]     [k] charge_memcg
     1.13%     0.09%  java             [kernel.kallsyms]     [k] mem_cgroup_migrate
     1.12%     0.04%  java             [kernel.kallsyms]     [k] find_vma
     1.10%     1.09%  java             [kernel.kallsyms]     [k] vmacache_find
     1.07%     0.01%  java             [kernel.kallsyms]     [k] tick_sched_timer
     1.06%     0.07%  java             [kernel.kallsyms]     [k] lock_page_lruvec_irq
     1.05%     0.01%  java             [kernel.kallsyms]     [k] __mem_cgroup_uncharge
     1.02%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] filemap_get_pages
     1.01%     0.09%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add
     1.00%     0.07%  java             [kernel.kallsyms]     [k] update_process_times
     1.00%     0.98%  java             [kernel.kallsyms]     [k] task_numa_fault
     0.99%     0.12%  java             [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.99%     0.00%  java             [kernel.kallsyms]     [k] tick_sched_handle
     0.94%     0.08%  java             [kernel.kallsyms]     [k] uncharge_batch
     0.93%     0.83%  java             [kernel.kallsyms]     [k] page_counter_charge
     0.90%     0.32%  LocalJobRunner   [kernel.kallsyms]     [k] __pagevec_lru_add
     0.89%     0.86%  java             [kernel.kallsyms]     [k] page_vma_mapped_walk
     0.89%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] __sysvec_apic_timer_interrupt
     0.88%     0.42%  java             [kernel.kallsyms]     [k] numa_migrate_prep
     0.88%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] ext4_block_write_begin
     0.88%     0.00%  kswapd0          [kernel.kallsyms]     [k] kthread
     0.88%     0.00%  kswapd0          [kernel.kallsyms]     [k] ret_from_fork
     0.88%     0.00%  kswapd0          [kernel.kallsyms]     [k] kswapd
     0.87%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] asm_exc_page_fault
     0.87%     0.00%  kswapd0          [kernel.kallsyms]     [k] balance_pgdat
     0.87%     0.00%  kswapd0          [kernel.kallsyms]     [k] shrink_node
     0.87%     0.03%  LocalJobRunner   [kernel.kallsyms]     [k] hrtimer_interrupt
     0.83%     0.00%  java             [kernel.kallsyms]     [k] task_work_run
     0.83%     0.00%  java             [kernel.kallsyms]     [k] task_numa_work
     0.83%     0.00%  java             [kernel.kallsyms]     [k] change_prot_numa
     0.81%     0.01%  java             [kernel.kallsyms]     [k] page_counter_uncharge
     0.77%     0.01%  kswapd0          [kernel.kallsyms]     [k] shrink_lruvec
     0.77%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.75%     0.07%  java             [kernel.kallsyms]     [k] remove_migration_pte
     0.75%     0.67%  java             [kernel.kallsyms]     [k] page_counter_cancel
     0.75%     0.70%  java             [kernel.kallsyms]     [k] change_protection
     0.74%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] __ext4_mark_inode_dirty
     0.74%     0.73%  LocalJobRunner   [kernel.kallsyms]     [k] sync_regs
     0.73%     0.00%  localfetcher#1   [kernel.kallsyms]     [k] exc_page_fault
     0.72%     0.03%  java             [kernel.kallsyms]     [k] scheduler_tick
     0.72%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] lru_cache_add_inactive_or_unevictable
     0.72%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] ondemand_readahead
     0.71%     0.01%  VM Thread        [kernel.kallsyms]     [k] asm_exc_page_fault
     0.71%     0.01%  LocalJobRunner   [kernel.kallsyms]     [k] page_cache_ra_unbounded
     0.71%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] do_user_addr_fault
     0.69%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] kthread
     0.69%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] ret_from_fork
     0.69%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] worker_thread
     0.69%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] process_one_work
     0.69%     0.69%  LocalJobRunner   [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath
     0.68%     0.01%  localfetcher#1   [kernel.kallsyms]     [k] handle_mm_fault
     0.68%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] wb_workfn
     0.68%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] wb_writeback
     0.68%     0.01%  Sampler Reader   [kernel.kallsyms]     [k] exc_page_fault
     0.68%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] __writeback_inodes_wb
     0.68%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] writeback_sb_inodes
     0.68%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] do_writepages
     0.68%     0.00%  kworker/u97:2-f  [kernel.kallsyms]     [k] __writeback_single_inode
     0.67%     0.07%  kworker/u97:2-f  [kernel.kallsyms]     [k] ext4_writepages
     0.66%     0.52%  java             [kernel.kallsyms]     [k] _raw_spin_lock
     0.66%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] tick_sched_timer
     0.64%     0.02%  LocalJobRunner   [kernel.kallsyms]     [k] schedule
     0.64%     0.01%  VM Thread        [kernel.kallsyms]     [k] exc_page_fault
     0.63%     0.04%  localfetcher#1   [kernel.kallsyms]     [k] __handle_mm_fault
     0.63%     0.10%  LocalJobRunner   [kernel.kallsyms]     [k] __schedule
     0.63%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kthread
     0.63%     0.00%  kcompactd0       [kernel.kallsyms]     [k] ret_from_fork
     0.63%     0.00%  kcompactd0       [kernel.kallsyms]     [k] kcompactd
     0.63%     0.01%  java             [kernel.kallsyms]     [k] alloc_pages_vma
     0.63%     0.05%  kswapd0          [kernel.kallsyms]     [k] shrink_page_list
     0.63%     0.00%  kcompactd0       [kernel.kallsyms]     [k] compact_zone
     0.62%     0.00%  Sampler Reader   [kernel.kallsyms]     [k] do_user_addr_fault
     0.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] move_to_new_page
     0.62%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] update_process_times
     0.62%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] migrate_page
     0.62%     0.04%  LocalJobRunner   [kernel.kallsyms]     [k] futex_wait
     0.61%     0.00%  kcompactd0       [kernel.kallsyms]     [k] proactive_compact_node
     0.61%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] tick_sched_handle
     0.61%     0.02%  VM Thread        [kernel.kallsyms]     [k] do_user_addr_fault
     0.60%     0.60%  LocalJobRunner   libc.so.6             [.] 0x00000000001b2eae
     0.60%     0.07%  java             [kernel.kallsyms]     [k] ptep_clear_flush
     0.59%     0.00%  kcompactd0       [kernel.kallsyms]     [k] migrate_pages
     0.58%     0.20%  LocalJobRunner   [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] worker_thread
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] kthread
     0.58%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ret_from_fork
     0.57%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] process_one_work
     0.57%     0.00%  kworker/u96:0-e  [kernel.kallsyms]     [k] ext4_end_io_rsv_work
     0.57%     0.00%  LocalJobRunner   [kernel.kallsyms]     [k] cgroup_rstat_flush_irqsafe
     0.57%     0.06%  LocalJobRunner   [kernel.kallsyms]     [k] futex_wake
     0.56%     0.02%  VM Thread        [kernel.kallsyms]     [k] handle_mm_fault
